ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,CAND_IND1,PAN_PRI,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
28,TAMAULIPAS,1,ABASOLO,11,16,16,258,1621,19,247,353,137,2463,,69,127,22,25,45,5386,0,194,5580,8270,
28,TAMAULIPAS,2,ALDAMA,21,46,46,4879,199,83,251,758,660,7836,,37,135,30,26,82,14976,2,505,15483,23272,
28,TAMAULIPAS,3,ALTAMIRA,86,298,299,14944,2825,3022,3070,3688,7451,58107,,497,2332,285,433,694,97348,66,3093,100507,188400,
28,TAMAULIPAS,4,ANTIGUO MORELOS,7,14,14,2624,112,12,124,230,88,1988,,41,31,12,7,25,5294,0,137,5431,7388,
28,TAMAULIPAS,5,BURGOS,8,13,13,1772,56,6,245,96,65,1257,,18,19,11,10,5,3560,2,141,3703,5133,
28,TAMAULIPAS,6,BUSTAMANTE,9,15,15,2506,24,2,33,124,30,1616,,15,24,5,5,11,4395,8,76,4479,5952,
28,TAMAULIPAS,7,CAMARGO,15,26,26,1779,482,55,272,638,677,3000,,104,194,37,35,83,7356,2,295,7653,13447,
28,TAMAULIPAS,8,CASAS,8,13,13,545,108,148,385,307,176,1422,,19,133,31,24,14,3312,4,183,3499,4552,
28,TAMAULIPAS,9,CIUDAD MADERO,113,287,288,30514,2891,1107,2497,3504,8544,49268,,721,2256,152,341,506,102301,77,2409,104787,173633,
28,TAMAULIPAS,10,CRUILLAS,5,7,7,974,52,3,22,32,26,303,,23,2,1,1,1,1440,0,59,1499,2237,
28,TAMAULIPAS,11,GOMEZ FARIAS,7,18,18,2208,69,21,147,293,132,1997,,31,60,16,9,32,5015,2,194,5211,7282,
28,TAMAULIPAS,12,GONZALEZ,37,68,68,4611,454,136,462,755,1092,9887,,69,234,49,49,126,17924,3,701,18628,32840,
28,TAMAULIPAS,13,GÜEMEZ,15,28,28,397,3800,29,148,475,606,4074,,55,58,14,8,55,9719,1,384,10104,13502,
28,TAMAULIPAS,14,GUERRERO,3,6,6,198,78,7,35,503,379,425,,4,16,8,3,40,1696,0,90,1786,2614,
28,TAMAULIPAS,15,GUSTAVO DIAZ ORDAZ,14,27,27,1777,328,27,425,269,543,4458,,80,106,23,65,31,8132,5,276,8413,14153,
28,TAMAULIPAS,16,HIDALGO,21,31,31,267,168,58,210,259,280,7599,,22,545,14,25,43,9490,3,255,9748,14107,
28,TAMAULIPAS,17,JAUMAVE,11,27,27,964,485,139,258,1063,432,4365,,21,57,19,20,36,7859,4,676,8539,12511,
28,TAMAULIPAS,18,JIMENEZ,8,14,14,215,531,226,104,350,409,1937,,10,30,10,1,16,3839,0,145,3984,6083,
28,TAMAULIPAS,19,LLERA,18,30,30,3000,169,32,227,522,524,4312,,46,94,18,18,38,9000,3,431,9434,12841,
28,TAMAULIPAS,20,MAINERO,4,6,6,39,13,7,46,48,22,1234,,1,9,4,2,9,1434,0,52,1486,1846,
28,TAMAULIPAS,21,EL MANTE,86,163,163,17629,1198,505,1326,1631,2734,25704,,293,865,107,173,271,52436,29,1418,53883,86944,
28,TAMAULIPAS,22,MATAMOROS,254,722,722,33725,8494,1088,4925,7356,25988,121560,,1256,3782,414,617,1339,210544,556,6143,217243,441021,
28,TAMAULIPAS,23,MENDEZ,6,10,10,1549,117,10,151,95,54,688,,63,27,8,13,7,2782,0,89,2871,3964,
28,TAMAULIPAS,24,MIER,6,7,7,450,103,14,55,276,558,642,,13,54,10,6,21,2202,1,96,2299,3967,
28,TAMAULIPAS,25,MIGUEL ALEMAN,22,40,40,4082,947,195,181,393,1585,3886,,143,129,24,25,62,11652,5,399,12056,21038,
28,TAMAULIPAS,26,MIQUIHUANA,4,7,7,1259,10,3,114,535,19,502,,10,32,13,3,18,2518,4,59,2581,3093,
28,TAMAULIPAS,27,NUEVO LAREDO,215,567,567,71966,7229,348,2637,4151,6632,83787,,4585,2903,258,540,926,185962,79,4830,190871,340557,
28,TAMAULIPAS,28,NUEVO MORELOS,3,7,7,1140,58,4,37,179,43,1014,,15,14,4,3,15,2526,0,60,2586,3415,
28,TAMAULIPAS,29,OCAMPO,14,22,22,2585,351,24,117,340,421,3286,,103,66,16,12,42,7363,2,254,7619,10809,
28,TAMAULIPAS,30,PADILLA,9,22,22,1646,180,35,204,407,2031,3417,,32,61,20,15,33,8081,2,334,8417,11609,
28,TAMAULIPAS,31,PALMILLAS,4,5,5,69,20,7,751,331,10,131,,2,1,1,3,1,1327,0,37,1364,1901,
28,TAMAULIPAS,32,REYNOSA,436,1002,1002,41918,9027,8338,8827,20364,30228,141984,,1379,5420,608,805,2317,271215,214,8176,279605,581348,
28,TAMAULIPAS,33,RIO BRAVO,74,186,186,20635,3204,1393,2159,2067,2663,20688,,892,723,166,191,210,54991,18,1880,56889,110522,
28,TAMAULIPAS,34,SAN CARLOS,12,17,17,202,123,282,107,194,116,2935,,7,306,18,15,23,4328,0,134,4462,6653,
28,TAMAULIPAS,35,SAN FERNANDO,51,79,80,8660,1345,127,611,1059,813,9968,,304,318,74,79,159,23517,5,796,24318,39130,
28,TAMAULIPAS,36,SAN NICOLAS,2,3,3,644,3,0,2,4,3,29,,2,0,0,0,1,688,0,5,693,934,
