CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,CAND_IND1,PAN_PRI,PT_PVEM_MORENA,PT_PVEM,PT_MORENA,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,749,B,1,0,B,0,181,11,1,5,10,14,161,0,12,5,1,1,1,403,0,17,420,800,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,749,C,1,0,C01,0,155,7,0,9,4,6,103,0,11,3,0,0,1,299,0,2,301,535,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,749,C,2,0,C02,0,163,6,0,9,2,6,116,0,4,6,0,0,2,314,0,7,321,535,COTEJO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,749,SMR,1,0,SMR01,0,78,7,1,0,13,23,101,0,2,3,0,1,3,232,0,7,239,0,COTEJO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,749,SRP,1,0,SRP01,0,17,1,0,1,0,7,26,0,0,0,0,0,0,52,0,4,56,0,COTEJO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,749,E,1,0,E01,0,142,6,0,9,6,12,149,0,9,4,0,0,0,337,0,10,347,725,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,749,E,1,1,E01C01,0,165,9,0,10,5,10,154,0,5,5,1,0,0,364,0,10,374,725,COTEJO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,749,E,1,2,E01C02,0,161,13,0,10,12,17,148,0,9,4,0,0,1,375,0,11,386,725,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,749,E,1,3,E01C03,0,179,7,1,3,8,14,160,0,11,5,2,2,2,394,0,5,399,725,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,749,E,1,4,E01C04,0,156,11,1,4,6,6,126,0,9,2,1,0,2,324,0,9,333,725,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,749,E,1,5,E01C05,0,160,10,2,4,11,15,159,0,7,4,2,0,1,375,0,10,385,725,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,749,E,1,6,E01C06,0,170,8,0,12,7,8,151,0,9,3,2,1,0,371,1,8,380,724,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,749,E,2,0,E02,0,124,11,1,8,4,9,145,0,13,7,0,3,4,329,1,9,339,646,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,749,E,2,1,E02C01,0,131,8,0,6,7,4,172,0,8,3,1,1,0,341,0,8,349,646,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,749,E,2,2,E02C02,0,122,5,0,4,6,9,171,0,5,13,0,2,4,341,0,12,353,646,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,749,E,2,3,E02C03,0,116,4,2,7,11,7,183,0,6,2,0,0,2,340,0,7,347,646,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,749,E,2,4,E02C04,0,131,7,0,5,9,13,174,0,9,3,0,0,0,351,0,3,354,645,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,749,E,2,5,E02C05,0,139,11,0,1,6,7,157,0,4,2,0,2,3,332,0,7,339,645,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,750,B,1,0,B,0,136,8,0,0,9,12,139,0,11,6,1,0,1,323,0,0,323,601,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,750,C,1,0,C01,0,161,19,0,3,7,7,108,0,8,1,0,1,1,316,0,9,325,601,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,750,C,2,0,C02,0,154,10,1,4,12,10,124,0,12,8,0,0,2,337,0,14,351,601,COTEJO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,750,C,3,0,C03,0,158,6,0,3,1,12,121,0,10,5,2,1,1,320,0,6,326,601,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,750,C,4,0,C04,0,162,13,0,6,3,7,131,0,4,4,0,1,2,333,0,11,344,601,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,750,E,1,0,E01,0,158,14,0,8,7,14,185,0,13,4,0,0,2,405,0,0,405,655,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,750,E,1,1,E01C01,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,10,13,655,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,750,E,1,2,E01C02,0,126,4,0,9,8,8,181,0,10,5,0,0,3,354,0,11,365,654,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,750,E,1,3,E01C03,0,148,9,1,5,6,21,180,0,10,4,0,2,2,388,0,12,400,654,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,750,E,1,4,E01C04,0,136,14,0,6,9,8,170,0,11,6,4,3,0,367,0,13,380,654,COTEJO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,750,E,1,5,E01C05,0,141,8,2,5,5,7,160,0,7,2,0,1,0,338,0,11,349,654,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,750,E,1,6,E01C06,0,146,10,0,8,11,10,191,0,4,11,0,0,2,393,0,5,398,654,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,751,B,1,0,B,0,135,13,0,13,12,19,173,0,8,4,0,3,2,382,0,4,386,697,RECUENTO,,,
2,28,TAMAULIPAS,1,NUEVO LAREDO,27,NUEVO LAREDO,752,B,1,0,B,0,192,9,0,7,6,10,163,0,5,3,0,1,4,400,1,7,408,672,RECUENTO,,,
