ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
28,TAMAULIPAS,1,NUEVO LAREDO,81,204,205,25125,2925,160,1541,2005,2460,32343,,66559,40,2036,68635,123806,
28,TAMAULIPAS,2,NUEVO LAREDO,111,249,250,33189,4968,83,1670,2628,2787,34207,,79532,31,1848,81411,143318,
28,TAMAULIPAS,3,NUEVO LAREDO,83,220,222,24784,3786,409,2053,3539,5218,32151,,71940,22,2108,74070,128652,
28,TAMAULIPAS,4,REYNOSA,98,233,234,13692,2973,1282,2663,5589,7943,31939,,66081,66,1997,68144,134302,
28,TAMAULIPAS,5,REYNOSA,91,207,208,5623,1199,1028,2235,4573,6211,33261,,54130,44,1402,55576,122792,
28,TAMAULIPAS,6,REYNOSA,135,283,285,15667,3720,1643,3225,6778,7820,36451,,75304,28,2568,77900,159421,
28,TAMAULIPAS,7,REYNOSA,87,209,209,5464,1268,4048,2545,5123,6164,33360,,57972,61,1699,59732,122672,
28,TAMAULIPAS,8,RIO BRAVO,99,256,257,23467,4257,1743,3273,4146,4851,32066,,73803,33,2468,76304,152683,
28,TAMAULIPAS,9,VALLE HERMOSO,95,227,228,14987,3684,449,2201,2808,5220,35091,,64440,107,2102,66649,128439,
28,TAMAULIPAS,10,MATAMOROS,59,183,184,8227,2053,291,1667,2514,7103,32981,,54836,95,1465,56396,112701,
28,TAMAULIPAS,11,MATAMOROS,37,175,176,8255,1749,308,1972,2629,6978,34155,,56046,192,1702,57940,117728,
28,TAMAULIPAS,12,MATAMOROS,108,229,230,12492,3404,325,1991,2822,8352,35034,,64420,168,1853,66441,131742,
28,TAMAULIPAS,13,SAN FERNANDO,159,259,260,17098,8375,823,2929,4313,4660,40051,,78249,13,2679,80941,117909,
28,TAMAULIPAS,14,VICTORIA,65,210,212,19899,10532,451,1882,5948,6205,34616,3940,83473,76,2311,85860,132451,
28,TAMAULIPAS,15,VICTORIA,94,222,224,13913,6191,685,2477,6608,8104,39258,,77236,66,2594,79896,129505,
28,TAMAULIPAS,16,XICOTENCATL,149,285,288,27470,2881,600,4525,9104,3389,39267,,87236,63,4238,91537,131458,
28,TAMAULIPAS,17,EL MANTE,144,277,281,27581,2070,737,2687,3929,4555,44616,,86175,41,2667,88883,143056,
28,TAMAULIPAS,18,ALTAMIRA,54,184,185,9622,2166,1964,2697,3134,4218,37174,,60975,51,1953,62979,115685,
28,TAMAULIPAS,19,MIRAMAR,48,171,172,10315,1425,1283,2215,2848,4660,32926,,55672,31,1679,57382,109235,
28,TAMAULIPAS,20,CIUDAD MADERO,97,230,232,26255,2759,889,2799,3575,7162,40059,,83498,62,1890,85450,137113,
28,TAMAULIPAS,21,TAMPICO,67,192,194,22153,2052,517,2355,2962,3944,36607,,70590,23,1564,72177,119923,
28,TAMAULIPAS,22,TAMPICO,129,247,249,35976,2782,429,1422,1761,3556,36495,,82421,49,3457,85927,134410,
