CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_ELECCION,NOMBRE_PARTICIPANTE,NUMERO_LISTA,CANDIDATO,SEXO_CANDIDATO,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
2,28,TAMAULIPAS,,,1,ABASOLO,,,PRES_MUN,PT_PVEM_MORENA,1,YAZMIN ALEJANDRA SALDAÑA PEREZ,2,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Constancias/ConsMay_Abasolo.PDF,PT
2,28,TAMAULIPAS,,,1,ABASOLO,,,SIND,PT_PVEM_MORENA,1,HERMENEGILDO ROJAS,1,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Constancias/ConsMay_Abasolo.PDF,PT
2,28,TAMAULIPAS,,,1,ABASOLO,,,REG_MR,PT_PVEM_MORENA,1,MONICA YAZMIN ALVARADO DOMINGUEZ,2,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Constancias/ConsMay_Abasolo.PDF,PT
2,28,TAMAULIPAS,,,1,ABASOLO,,,REG_MR,PT_PVEM_MORENA,2,RIGOBERTO OVIEDO CERDA,1,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Constancias/ConsMay_Abasolo.PDF,PT
2,28,TAMAULIPAS,,,1,ABASOLO,,,REG_MR,PT_PVEM_MORENA,3,LINA GUADALUPE SILVA RDZ.,2,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Constancias/ConsMay_Abasolo.PDF,MORENA
2,28,TAMAULIPAS,,,1,ABASOLO,,,REG_MR,PT_PVEM_MORENA,4,MARTIN TORRES RAMIREZ,1,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Constancias/ConsMay_Abasolo.PDF,PVEM
2,28,TAMAULIPAS,,,1,ABASOLO,,,REG_RP,PAN_PRI,1,ARTURO RAFAEL CONDE SOSA,1,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Constancias/ConsMay_Abasolo.PDF,PRI
2,28,TAMAULIPAS,,,1,ABASOLO,,,REG_RP,PAN_PRI,2,DOMITILA REYNA REYNA,2,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Constancias/ConsMay_Abasolo.PDF,PRI
2,28,TAMAULIPAS,,,2,ALDAMA,,,PRES_MUN,PT_PVEM_MORENA,1,MARIA NOEMI SOSA VILLARREAL,2,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Constancias/ConsMay_Aldama.PDF,MORENA
2,28,TAMAULIPAS,,,2,ALDAMA,,,SIND,PT_PVEM_MORENA,1,MELCHOR ANTONIO LEAL ROMERO,1,,https://www.ietam.org.mx/Portal/documentos/PE2024/Resultados/Constancias/ConsMay_Aldama.PDF,MORENA
