CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,PAN_PRI,MORENA_RSP_PANALT,MORENA_PANALT,MORENA_RSP,RSP_PANALT,CAND_IND01,CAND_IND02,CAND_IND03,CAND_IND04,CAND_IND05,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,URNA_ELECTRONICA,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,0,A,2,0,VA2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,ACTA CASILLA,,,
4,29,TLAXCALA,2,TLAXCO DE MORELOS,3,APIZACO,0,A,40,0,VA40,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,0,6,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,2,TLAXCO DE MORELOS,34,TLAXCO,0,A,38,0,VA38,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,7,ACTA CASILLA,,,
4,29,TLAXCALA,2,TLAXCO DE MORELOS,43,YAUHQUEMEHCAN,0,A,39,0,VA39,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,ACTA CASILLA,,,
4,29,TLAXCALA,3,SANTIAGO TETLA,4,ATLANGATEPEC,0,A,28,0,VA28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,3,SANTIAGO TETLA,31,TETLA DE LA SOLIDARIDAD,0,A,34,0,VA34,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,ACTA CASILLA,,,
4,29,TLAXCALA,3,SANTIAGO TETLA,39,XALOZTOC,0,A,35,0,VA35,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,5,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,1,AMAXAC DE GUERRERO,0,A,15,0,VA15,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,ACTA CASILLA,,,
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,2,APETATITLAN DE ANTONIO CARVAJAL,0,A,16,0,VA16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,24,PANOTLA,0,A,17,0,VA17,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,4,0,5,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,36,TOTOLAC,0,A,18,0,VA18,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,6,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,12,ESPAÑITA,0,A,13,0,VA13,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,0,A,14,0,VA14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,7,TLAXCALA DE XICOHTENCATL,33,TLAXCALA,0,A,36,0,VA36,1,1,1,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,0,12,ACTA CASILLA,,,
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,9,CUAXOMULCO,0,A,22,0,VA22,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,ACTA CASILLA,,,
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,18,CONTLA DE JUAN CUAMATZI,0,A,4,0,VA4,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,6,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,26,SANTA CRUZ TLAXCALA,0,A,6,0,VA6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,ACTA CASILLA,,,
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,38,TZOMPANTEPEC,0,A,7,0,VA7,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,ACTA CASILLA,,,
4,29,TLAXCALA,9,SANTA ANA CHIAUTEMPAN,10,CHIAUTEMPAN,0,A,3,0,VA3,0,0,1,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,6,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,10,HUAMANTLA,13,HUAMANTLA,0,A,11,0,VA11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,ACTA CASILLA,,,
