ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,PAN_PRI,MORENA_RSP_PANALT,CAND_IND01,CAND_IND02,CAND_IND03,CAND_IND04,CAND_IND05,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
29,TLAXCALA,1,AMAXAC DE GUERRERO,4,15,16,263,1425,371,276,633,92,642,2386,37,,417,56,,,,,,,3,6598,233,6834,9089,
29,TLAXCALA,2,APETATITLAN DE ANTONIO CARVAJAL,7,23,24,2916,206,55,151,644,763,3586,1092,0,35,149,96,,,,,,,4,9693,350,10047,13132,
29,TLAXCALA,3,APIZACO,40,111,112,10698,1337,276,994,1558,1024,6877,15854,194,220,225,481,,5398,,,,,10,45136,1654,46800,69379,
29,TLAXCALA,4,ATLANGATEPEC,9,12,13,214,766,0,72,26,1211,18,874,211,0,509,63,,,,,,,0,3964,158,4122,5418,
29,TLAXCALA,5,ATLTZAYANCA,19,31,32,2683,1475,0,1149,798,1406,325,2200,131,29,345,,,,,,,,0,10541,419,10960,13884,
29,TLAXCALA,6,CALPULALPAN,21,66,66,337,774,427,4880,462,286,3363,6442,73,273,107,57,,,5435,,,,4,22916,1064,23984,38439,
29,TLAXCALA,7,EL CARMEN TEQUEXQUITLA,7,20,21,65,304,,379,257,,3494,2737,108,273,,,,,,,,,6,7617,512,8135,12755,
29,TLAXCALA,8,CUAPIAXTLA,10,22,23,1800,243,882,1171,90,3086,212,610,24,,619,84,,,,,,,32,8821,396,9249,11972,
29,TLAXCALA,9,CUAXOMULCO,5,8,9,290,834,2,20,226,384,77,374,400,103,978,,,,,,,,0,3688,128,3816,4966,
29,TLAXCALA,10,CHIAUTEMPAN,30,93,94,2619,5454,6645,1761,4252,2345,873,9415,3587,,982,465,,,,,,,18,38398,1617,40033,56721,
29,TLAXCALA,11,MUÑOZ DE DOMINGO ARENAS,4,7,7,19,28,,13,28,15,91,1305,,826,394,,,,,,,,0,2719,117,2836,4010,
29,TLAXCALA,12,ESPAÑITA,12,17,18,780,1658,9,22,2001,31,31,304,10,0,222,0,,,,,,,1,5068,273,5342,7602,
29,TLAXCALA,13,HUAMANTLA,42,121,122,2890,4759,275,1943,12054,5581,354,10576,6407,0,2887,343,,,,,,,19,48069,1962,50050,73569,
29,TLAXCALA,14,HUEYOTLIPAN,12,23,23,139,1799,0,64,422,2382,36,2157,0,0,1207,124,,,,,,,1,8330,374,8705,12263,
29,TLAXCALA,15,IXTACUIXTLA DE MARIANO MATAMOROS,25,55,56,167,1785,276,2759,3294,1361,426,4870,513,2083,1101,,,,,864,,,35,19499,1002,20536,31617,
29,TLAXCALA,16,IXTENCO,4,10,10,109,547,0,467,277,113,152,925,427,879,571,23,,,,,,,0,4490,112,4602,6010,
29,TLAXCALA,17,MAZATECOCHCO DE JOSE MARIA MORELOS,4,14,14,31,188,1520,18,1523,279,854,1430,176,332,191,10,,,,,,,2,6552,154,6718,8499,
29,TLAXCALA,18,CONTLA DE JUAN CUAMATZI,17,45,46,779,567,2864,7122,1118,668,553,3751,3113,125,99,53,,,,,,,7,20812,733,21552,29550,
29,TLAXCALA,19,TEPETITLA DE LARDIZABAL,9,27,27,132,95,112,2822,2342,539,90,1049,1723,673,2019,,,,,,,,2,11596,424,12022,16916,
29,TLAXCALA,20,SANCTORUM DE LAZARO CARDENAS,5,13,13,701,162,5,17,566,30,506,747,1485,0,326,78,,,,,,,0,4623,146,4769,6862,
29,TLAXCALA,21,NANACAMILPA DE MARIANO ARISTA,10,25,26,,,26,1377,359,71,58,885,2161,20,23,4126,,,,,,,1,9106,354,9461,14643,
29,TLAXCALA,22,ACUAMANALA DE MIGUEL HIDALGO,4,9,9,336,25,398,555,0,896,571,601,742,145,6,45,,,,,,,1,4320,123,4444,5347,
29,TLAXCALA,23,NATIVITAS,14,34,34,749,1705,,3392,,3109,3738,1232,343,,83,,,,,,,,0,14351,419,14770,20567,
29,TLAXCALA,24,PANOTLA,16,38,39,268,710,2019,812,2530,699,651,3418,578,636,2345,29,,,,,,,22,14695,720,15437,22079,
29,TLAXCALA,25,SAN PABLO DEL MONTE,22,94,95,2787,7344,160,642,13781,5313,1193,9751,297,300,306,394,,,,,,,7,42268,1621,43896,63274,
29,TLAXCALA,26,SANTA CRUZ TLAXCALA,8,28,29,2151,322,466,355,537,342,137,2698,2168,2630,43,96,,,,,,,1,11945,376,12322,17596,
29,TLAXCALA,27,TENANCINGO,6,16,17,559,1340,185,1260,197,69,0,1650,13,146,353,,,,,,,,1,5772,393,6166,9781,
29,TLAXCALA,28,TEOLOCHOLCO,10,31,32,1206,113,181,4418,1804,177,171,4032,2067,0,63,20,,,,,,,1,14252,537,14790,19435,
29,TLAXCALA,29,TEPEYANCO,7,19,20,538,102,1021,1310,31,269,992,1110,2102,0,22,17,,,,,,,0,7514,211,7725,10019,
29,TLAXCALA,30,TERRENATE,8,19,19,248,78,0,916,2065,2076,42,686,570,0,1825,0,,,,,,,0,8506,310,8816,11674,
29,TLAXCALA,31,TETLA DE LA SOLIDARIDAD,16,41,42,1313,239,543,4367,242,4052,493,4410,0,110,744,17,,,,,,,3,16530,681,17214,25440,
29,TLAXCALA,32,TETLATLAHUCA,7,18,19,29,20,11,3318,0,36,530,3552,42,33,0,0,,,,,,,0,7571,154,7725,10362,
29,TLAXCALA,33,TLAXCALA,40,129,130,6823,5181,1682,1429,1910,9778,5110,18325,660,364,1611,501,,,,,,,43,53374,2146,55563,81284,
