CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,PAN_PRI,MORENA_RSP_PANALT,MORENA_PANALT,MORENA_RSP,RSP_PANALT,CAND_IND01,CAND_IND02,CAND_IND03,CAND_IND04,CAND_IND05,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,21,NANACAMILPA DE MARIANO ARISTA,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3
4,29,TLAXCALA,2,TLAXCO DE MORELOS,3,APIZACO,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6,6
4,29,TLAXCALA,2,TLAXCO DE MORELOS,34,TLAXCO,0,0,1,1,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,7
4,29,TLAXCALA,2,TLAXCO DE MORELOS,43,YAUHQUEMEHCAN,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4
4,29,TLAXCALA,3,SANTIAGO TETLA,4,ATLANGATEPEC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
4,29,TLAXCALA,3,SANTIAGO TETLA,31,TETLA DE LA SOLIDARIDAD,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
4,29,TLAXCALA,3,SANTIAGO TETLA,39,XALOZTOC,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,1,AMAXAC DE GUERRERO,0,0,1,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,2,APETATITLAN DE ANTONIO CARVAJAL,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,24,PANOTLA,0,0,1,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,4,5
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,36,TOTOLAC,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,12,ESPAÑITA,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3
4,29,TLAXCALA,7,TLAXCALA DE XICOHTENCATL,33,TLAXCALA,0,0,1,1,1,1,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12,12
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,9,CUAXOMULCO,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,18,CONTLA DE JUAN CUAMATZI,0,0,1,0,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,6
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,26,SANTA CRUZ TLAXCALA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,38,TZOMPANTEPEC,0,0,1,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4
4,29,TLAXCALA,9,SANTA ANA CHIAUTEMPAN,10,CHIAUTEMPAN,0,0,1,0,0,1,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,6,6
4,29,TLAXCALA,10,HUAMANTLA,13,HUAMANTLA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
4,29,TLAXCALA,10,HUAMANTLA,35,TOCATLAN,0,0,1,0,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,4,2
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4,29,TLAXCALA,11,HUAMANTLA,7,EL CARMEN TEQUEXQUITLA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,0,0,1,2,0,0,1,2,5,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14,1,15,5
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,28,TEOLOCHOLCO,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,29,TEPEYANCO,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,32,TETLATLAHUCA,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,49,SANTA ISABEL XILOXOXTLA,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
4,29,TLAXCALA,13,ZACATELCO,59,SAN LORENZO AXOCOMANITLA,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,27,TENANCINGO,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,42,XICOHTZINCO,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,1,AMAXAC DE GUERRERO,1,2,2,33,188,119,42,76,11,61,327,3,0,52,10,0,0,0,0,0,0,0,0,0,0,922,30,952,1283
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,1,AMAXAC DE GUERRERO,2,6,6,116,653,87,156,219,33,280,941,18,0,200,26,0,0,0,0,0,0,0,0,0,2,2729,108,2839,3816
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,1,AMAXAC DE GUERRERO,3,5,5,88,409,142,72,274,30,274,877,14,0,139,19,0,0,0,0,0,0,0,0,0,1,2338,61,2400,3228
