CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,PAN_PRI,MORENA_PVEM_RSP_FXM_PANALT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3
4,29,TLAXCALA,2,TLAXCO DE MORELOS,34,TLAXCO,0,0,1,1,2,0,1,0,0,0,0,0,0,0,0,2,0,6,0,6,7
4,29,TLAXCALA,2,TLAXCO DE MORELOS,43,YAUHQUEMEHCAN,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,1,0,4,0,4,4
4,29,TLAXCALA,3,SANTIAGO TETLA,4,ATLANGATEPEC,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,0,5,1,6,7
4,29,TLAXCALA,4,APIZACO,3,APIZACO,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,3,4
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,1,AMAXAC DE GUERRERO,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,10,0,13,1,14,17
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,0,0,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,5,6
4,29,TLAXCALA,7,TLAXCALA DE XICOHTENCATL,33,TLAXCALA,0,0,1,1,3,1,0,0,0,1,0,0,0,0,0,6,0,12,0,12,12
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,9,CUAXOMULCO,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,3,0,6,0,6,6
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,18,CONTLA DE JUAN CUAMATZI,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,2,0,5,0,5,6
4,29,TLAXCALA,9,SANTA ANA CHIAUTEMPAN,10,CHIAUTEMPAN,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,4,0,6,0,6,6
4,29,TLAXCALA,10,HUAMANTLA,13,HUAMANTLA,0,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,1,4,5
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,0,0,1,2,0,1,1,0,0,2,0,0,0,0,0,6,0,12,2,14,14
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,22,ACUAMANALA DE MIGUEL HIDALGO,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0,2,0,5,0,5,5
4,29,TLAXCALA,13,ZACATELCO,23,NATIVITAS,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,17,MAZATECOCHCO DE JOSE MARIA MORELOS,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,3,3
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,7,7,81,254,349,371,0,237,331,0,0,0,0,15,940,0,2578,154,2732,4854
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,79,5,5,52,117,133,248,0,91,251,0,0,0,0,8,462,0,1362,76,1438,2362
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,80,3,3,44,87,124,170,0,84,208,0,0,0,0,3,272,0,992,51,1043,1502
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,81,3,3,65,86,95,169,0,89,213,0,0,0,0,4,347,0,1068,67,1135,1877
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,82,4,4,56,107,142,221,0,153,250,0,0,0,0,9,435,3,1373,97,1473,2444
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,83,4,4,81,145,117,262,0,109,271,0,0,0,0,13,466,0,1464,109,1573,2634
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,84,2,2,37,43,43,79,0,33,112,0,0,0,0,3,148,0,498,35,533,783
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,85,4,4,44,147,212,248,0,97,243,0,0,0,0,2,420,0,1413,70,1483,2291
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,86,3,3,50,153,185,300,0,80,252,0,0,0,0,2,372,0,1394,71,1465,2154
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,87,2,2,18,51,36,94,0,42,118,0,0,0,0,2,196,0,557,33,590,998
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,88,2,2,50,76,63,152,0,43,166,0,0,0,0,7,304,0,861,61,922,1408
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,89,4,4,82,106,134,257,0,114,260,0,0,0,0,2,434,2,1389,66,1457,2297
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,90,5,5,95,144,194,336,0,133,362,0,0,0,0,12,721,1,1997,121,2119,3445
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,91,2,2,23,47,38,212,0,30,53,0,0,0,0,1,143,0,547,24,571,824
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,92,3,3,79,63,170,197,0,89,186,0,0,0,0,3,554,0,1341,104,1445,2182
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,93,2,2,36,81,53,143,0,60,122,0,0,0,0,4,360,0,859,73,932,1446
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,94,2,2,21,26,43,173,0,52,64,0,0,0,0,3,225,3,607,23,633,933
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,95,1,1,23,57,33,20,0,9,12,0,0,0,0,2,81,0,237,22,259,474
