CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,PAN_PRI,MORENA_PVEM_RSP_FXM_PANALT,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,URNA_ELECTRONICA,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,0,A,21,0,VA21,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,2,TLAXCO DE MORELOS,34,TLAXCO,0,A,38,0,VA38,1,2,0,1,0,0,0,0,0,0,0,0,2,0,6,0,6,0,7,ACTA CASILLA,,,
4,29,TLAXCALA,2,TLAXCO DE MORELOS,43,YAUHQUEMEHCAN,0,A,39,0,VA39,1,1,0,1,0,0,0,0,0,0,0,0,1,0,4,0,4,0,4,ACTA CASILLA,,,
4,29,TLAXCALA,3,SANTIAGO TETLA,4,ATLANGATEPEC,0,A,33,0,VA33,0,0,0,0,0,1,0,0,0,0,0,0,4,0,5,1,6,0,7,ACTA CASILLA,,,
4,29,TLAXCALA,4,APIZACO,3,APIZACO,0,A,1,0,VA1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,3,0,3,0,4,ACTA CASILLA,,,
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,1,AMAXAC DE GUERRERO,0,A,25,0,VA25,0,0,1,0,0,2,0,0,0,0,0,0,10,0,13,1,14,0,17,ACTA CASILLA,,,
4,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,15,IXTACUIXTLA DE MARIANO MATAMOROS,0,A,37,0,VA37,3,1,0,0,0,0,0,1,0,0,0,0,0,0,5,0,5,0,6,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,7,TLAXCALA DE XICOHTENCATL,33,TLAXCALA,0,A,36,0,VA36,1,3,1,0,0,0,1,0,0,0,0,0,6,0,12,0,12,0,12,ACTA CASILLA,,,
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,9,CUAXOMULCO,0,A,5,0,VA5,0,1,0,1,0,1,0,0,0,0,0,0,3,0,6,0,6,0,6,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,8,SAN BERNARDINO CONTLA,18,CONTLA DE JUAN CUAMATZI,0,A,4,0,VA4,0,0,2,1,0,0,0,0,0,0,0,0,2,0,5,0,5,0,6,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,9,SANTA ANA CHIAUTEMPAN,10,CHIAUTEMPAN,0,A,27,0,VA27,0,0,0,1,0,1,0,0,0,0,0,0,4,0,6,0,6,0,6,ACTA CASILLA,,,
4,29,TLAXCALA,10,HUAMANTLA,13,HUAMANTLA,0,A,44,0,VA44,0,2,0,0,0,0,0,0,0,0,1,0,0,0,3,1,4,0,5,ACTA CASILLA,,,
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA,0,A,45,0,VA45,2,0,1,1,0,0,2,0,0,0,0,0,6,0,12,2,14,0,14,ACTA CASILLA,,,
4,29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,22,ACUAMANALA DE MIGUEL HIDALGO,0,A,24,0,VA24,0,0,1,0,0,2,0,0,0,0,0,0,2,0,5,0,5,0,5,ACTA CASILLA,,,
4,29,TLAXCALA,13,ZACATELCO,23,NATIVITAS,0,A,42,0,VA42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,ACTA CASILLA,,,
4,29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,17,MAZATECOCHCO DE JOSE MARIA MORELOS,0,A,23,0,VA23,1,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,3,0,3,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,15,VICENTE GUERRERO,25,SAN PABLO DEL MONTE,0,A,41,0,VA41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,B,1,0,B,12,28,61,49,0,37,50,0,0,0,0,4,129,0,370,26,396,0,694,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,C,1,0,C01,11,48,41,46,0,37,57,0,0,0,0,4,129,0,373,23,396,0,694,ACTA CASILLA,,,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,C,2,0,C02,15,40,39,56,0,36,43,0,0,0,0,0,141,0,370,22,392,0,694,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,C,3,0,C03,8,29,64,61,0,36,52,0,0,0,0,1,127,0,378,19,397,0,693,ACTA CASILLA,,,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,C,4,0,C04,15,32,41,51,0,38,48,0,0,0,0,3,159,0,387,19,406,0,693,ACTA CASILLA,,,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,C,5,0,C05,10,34,49,51,0,31,43,0,0,0,0,3,126,0,347,25,372,0,693,ACTA CASILLA,,,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,78,C,6,0,C06,10,43,54,57,0,22,38,0,0,0,0,0,129,0,353,20,373,0,693,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,79,B,1,0,B,9,35,31,63,0,28,51,0,0,0,0,2,110,0,329,19,348,0,591,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,79,C,1,0,C01,16,32,24,66,0,24,66,0,0,0,0,1,123,0,352,20,372,0,591,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,79,C,2,0,C02,17,24,35,62,0,20,63,0,0,0,0,1,115,0,337,21,358,0,590,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,79,C,3,0,C03,10,26,43,57,0,19,71,0,0,0,0,4,114,0,344,16,360,0,590,GRUPO DE RECUENTO,,,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,79,SMR,1,0,SMR01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ACTA DENTRO DEL PAQUETE,,,
4,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,6,CALPULALPAN,80,B,1,0,B,19,33,43,63,0,32,54,0,0,0,0,1,100,0,345,15,360,0,501,GRUPO DE RECUENTO,,,
