ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,NUM_VOTOS_CAN_NREG,NUM_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,38,112,113,3087,4964,3797,5729,1796,2735,5280,7043,1657,1518,1795,14,39401,2247,41662,65218,
29,TLAXCALA,2,TLAXCO DE MORELOS,55,120,122,5650,6283,1173,3179,2628,3501,2315,10310,2425,2223,2628,13,42315,2315,44643,68060,
29,TLAXCALA,3,SANTIAGO TETLA,48,115,116,3763,2493,866,7387,2133,12440,2317,8371,1969,1805,2133,17,45677,3095,48789,67719,
29,TLAXCALA,4,APIZACO,39,109,110,8058,3802,1430,4116,2015,5125,5778,7905,1860,1705,2015,48,43809,2193,46050,68263,
29,TLAXCALA,5,SAN NICOLAS PANOTLA,48,124,125,5583,3729,2428,4559,2707,5617,5734,10617,2498,2289,2706,86,48467,3385,51938,71835,
29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,61,128,129,1493,2905,743,4851,4924,3127,1980,19775,1105,1250,1809,5,43962,3221,43967,71172,
29,TLAXCALA,7,TLAXCALA DE XICOHTENCATL,40,129,130,5701,6244,1443,3184,2766,9629,5282,10852,2553,2340,2766,46,52760,2741,55547,81284,
29,TLAXCALA,8,SAN BERNARDINO CONTLA,43,110,112,2657,2553,6331,14408,1931,3088,3034,7575,1782,1633,1930,4,46922,2359,49285,69923,
29,TLAXCALA,9,SANTA ANA CHIAUTEMPAN,35,115,116,7827,5493,5179,3174,2139,5362,5664,8392,1974,1809,2139,45,49152,2673,51870,71892,
29,TLAXCALA,10,HUAMANTLA,45,116,117,2471,2461,398,3272,6689,5028,1236,10986,1406,569,2350,11,36866,2507,39384,67127,
29,TLAXCALA,11,HUAMANTLA,47,109,110,5664,7150,1380,4970,1977,4722,2674,7756,1825,1672,1977,35,41767,3096,44898,63098,
29,TLAXCALA,12,SAN LUIS TEOLOCHOLCO,39,118,119,2644,1512,1052,20388,3086,2645,1616,12105,2848,2610,3085,18,53591,2241,55850,71966,
29,TLAXCALA,13,ZACATELCO,34,114,115,2682,5767,947,9283,2822,4151,5935,11073,2605,2388,2822,40,50475,2979,53494,72114,
29,TLAXCALA,14,SAN FRANCISCO PAPALOTLA,34,108,109,1326,2543,8459,6257,3964,2805,1576,14648,1394,538,3540,13,47050,2706,49769,68448,
29,TLAXCALA,15,VICENTE GUERRERO,22,94,95,3087,4172,460,6633,5462,9075,1082,9086,441,581,2104,12,42183,1932,44127,63275,
