CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO,NUMERO_LISTA,PERSONA_CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO
,29,TLAXCALA,1,SAN ANTONIO CALPULALPAN,,,,,DIP_LOC_MR,MORENA_PVEM_RSP_FXM_PANALT,,EVER ALEJANDRO CAMPECH AVELAR,1,,,MORENA
,29,TLAXCALA,2,TLAXCO DE MORELOS,,,,,DIP_LOC_MR,MORENA_PVEM_RSP_FXM_PANALT,,GABRIELA HERNANDEZ ISLAS,2,CANDIDATURAS DE DISCAPACIDAD,,MORENA
,29,TLAXCALA,3,SANTIAGO TETLA,,,,,DIP_LOC_MR,MORENA_PVEM_RSP_FXM_PANALT,,JACIEL GONZALEZ HERRERA,1,,,PVEM
,29,TLAXCALA,4,APIZACO,,,,,DIP_LOC_MR,MORENA_PVEM_RSP_FXM_PANALT,,LORENA RUIZ GARCIA,2,CANDIDATURAS DE PERSONAS JOVENES,,PANALT
,29,TLAXCALA,5,SAN NICOLAS PANOTLA,,,,,DIP_LOC_MR,MORENA_PVEM_RSP_FXM_PANALT,,MARIA AURORA VILLEDA TEMOLTZIN,2,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,RSP
,29,TLAXCALA,6,IXTACUIXTLA DE MARIANO MATAMOROS,,,,,DIP_LOC_MR,MORENA,,VICENTE MORALES PEREZ,1,,,MORENA
,29,TLAXCALA,7,TLAXCALA DE XICOHTENCATL,,,,,DIP_LOC_MR,MORENA_PVEM_RSP_FXM_PANALT,,MADAI PEREZ CARRILLO,3,CANDIDATURAS DE LA DIVERSIDAD SEXUAL,,MORENA
,29,TLAXCALA,8,SAN BERNARDINO CONTLA,,,,,DIP_LOC_MR,MORENA_PVEM_RSP_FXM_PANALT,,DAVID MARTINEZ DEL RAZO,1,CANDIDATURAS INDIGENAS,,FXM
,29,TLAXCALA,9,SANA ANA CHIAUTEMPAN,,,,,DIP_LOC_MR,MORENA_PVEM_RSP_FXM_PANALT,,MARIBEL LEON CRUZ,2,CANDIDATURAS INDIGENAS,,PVEM
,29,TLAXCALA,10,HUAMANTLA,,,,,DIP_LOC_MR,MORENA,,MIGUEL ANGEL CABALLERO YONCA,1,CANDIDATURAS INDIGENAS,,MORENA
,29,TLAXCALA,11,HUAMANTLA,,,,,DIP_LOC_MR,MORENA_PVEM_RSP_FXM_PANALT,,ANEL MARTINEZ PEREZ,2,CANDIDATURAS DE PERSONAS JOVENES,,FXM
