CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION,DEMARCACION,SECCION,CASILLAS,ACTA_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,PAC,MORENA,PANALT,RSP,FXM,CAND_IND1,CAND_IND2,CAND_IND3,CAND_IND4,NUM_VOTOS_CAN_NREG,NUMERO_VOTOS_VALIDOS,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
4,29,TLAXCALA,5,SAN NICOLAS PANOTLA,2,APETATITLAN DE ANTONIO CARVAJAL,4,BELEN ATZITZIMITITLAN,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,29,TLAXCALA,4,APIZACO,3,APIZACO,7,SAN LUIS APIZAQUITO,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2
4,29,TLAXCALA,4,APIZACO,3,APIZACO,10,SANTA MARIA TEXCALAC,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
4,29,TLAXCALA,4,APIZACO,3,APIZACO,12,COLONIA SAN ISIDRO APIZAQUITO,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
4,29,TLAXCALA,2,TLAXCO DE MORELOS,4,ATLANGATEPEC,19,SAN PEDRO ECACTEPEC,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,21,BARRIO DE GUADALUPE,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,38,SANTA CRUZ POCITOS,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1
4,29,TLAXCALA,11,HUAMANTLA,5,ATLTZAYANCA  ,40,BARRIO DE SAN ANTONIO,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,50,COLONIA IGNACIO ALLENDE,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
4,29,TLAXCALA,11,HUAMANTLA,8,CUAPIAXTLA,54,SAN FRANCISCO CUEXCONTZI,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
