ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN_PRI_PRD,PVEM_PT_MORENA,PVEM,PT,MC,MORENA,FXMV,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,1,PANUCO,242,400,402,29107,76979,,,5344,,2075,113505,35,3753,117293,197277,
30,VERACRUZ,2,TANTOYUCA,205,380,381,42034,68931,,,5350,,2357,118672,18,4595,123285,199892,
30,VERACRUZ,3,TUXPAN,166,390,392,27525,78034,,,11076,,2968,119603,248,4108,123959,220578,
30,VERACRUZ,4,ALAMO TEMAPACHE,210,408,409,36010,,9052,5322,9258,57040,3197,119879,39,8950,128868,216984,
30,VERACRUZ,5,POZA RICA DE HIDALGO,142,323,325,23571,71931,,,10582,,2712,108796,79,2740,111615,187023,
30,VERACRUZ,6,PAPANTLA,155,374,375,36213,74770,,,9953,,1978,122914,19,4477,127410,213200,
30,VERACRUZ,7,MARTINEZ DE LA TORRE,181,365,367,25614,66859,,,6588,,2159,101220,53,3219,104492,190192,
30,VERACRUZ,8,MISANTLA,215,402,405,23945,75998,,,8376,,5397,113716,32,4245,117993,199164,
30,VERACRUZ,9,PEROTE,132,363,364,29426,67632,,,12344,,2428,111830,48,4505,116383,198396,
30,VERACRUZ,10,XALAPA,111,318,319,52315,53172,,,10542,,2962,118991,120,3263,122374,192591,
30,VERACRUZ,11,XALAPA,157,345,346,43259,63752,,,12612,,4413,124036,101,3850,127987,201620,
30,VERACRUZ,12,COATEPEC,123,345,346,36904,68745,,,9097,,3221,117967,72,4675,122714,201027,
30,VERACRUZ,13,EMILIANO ZAPATA,170,375,376,27924,72818,,,14359,,3501,118602,53,3314,121969,203685,
30,VERACRUZ,14,VERACRUZ,170,401,402,45783,75928,,,10026,,1624,133361,91,2933,136385,236988,
30,VERACRUZ,15,VERACRUZ,206,427,428,60963,74068,,,10503,,2067,147601,66,3087,150754,248519,
30,VERACRUZ,16,BOCA DEL RIO,157,364,366,58389,,12165,1626,6708,43876,1239,124003,40,6238,130281,213360,
30,VERACRUZ,17,ALVARADO,172,388,390,41299,68666,,,6299,,2076,118340,29,4338,122707,206490,
30,VERACRUZ,18,HUATUSCO,121,341,344,39316,56028,,,10845,,3144,109333,48,5264,114645,197703,
30,VERACRUZ,19,CORDOBA,158,372,373,33352,78531,,,10398,,2263,124544,103,3454,128101,210719,
30,VERACRUZ,20,ORIZABA,168,397,399,41014,73380,,,22468,,5365,142227,130,4629,146986,224656,
30,VERACRUZ,21,RIO BLANCO,120,318,320,25076,68533,,,11271,,2961,107841,64,4254,112159,187893,
30,VERACRUZ,22,ZONGOLICA,134,338,339,37218,52245,,,5544,,2750,97757,37,5894,103688,190012,
30,VERACRUZ,23,COSAMALOAPAN,203,386,387,25133,74102,,,7269,,3926,110430,69,3774,114273,201118,
30,VERACRUZ,24,SANTIAGO TUXTLA,182,358,360,25762,70226,,,7703,,1901,105592,19,4638,110249,197417,
30,VERACRUZ,25,SAN ANDRES TUXTLA,138,338,339,19068,57463,,,12818,,1836,91185,25,3882,95092,192396,
30,VERACRUZ,26,COSOLEACAQUE,136,338,339,27004,72400,,,5419,,2648,107471,87,4043,111601,191665,
30,VERACRUZ,27,ACAYUCAN,176,395,397,21369,86763,,,5672,,3130,116934,48,4217,121199,211478,
30,VERACRUZ,28,MINATITLAN,156,337,338,14277,76587,,,8462,,1848,101174,71,2818,104063,174546,
30,VERACRUZ,29,COATZACOALCOS,172,343,344,16961,73602,,,18335,,2223,111121,70,2671,113862,191074,
30,VERACRUZ,30,COATZACOALCOS,159,356,358,13277,77298,,,8865,,1860,101300,24,3317,104641,183102,
