ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,15,NARANJOS AMATLAN,19,35,35,1844,914,131,522,319,638,6507,289,124,48,6,16,332,44,98,41,11873,1,342,12216,19074,
30,VERACRUZ,62,CHINAMPA DE GOROSTIZA,10,23,23,1119,269,43,282,140,184,3677,116,45,19,2,0,146,25,50,22,6139,3,199,6341,10828,
30,VERACRUZ,122,OZULUAMA,29,39,39,1785,771,93,1142,230,506,3721,182,107,76,3,1,147,36,118,23,8941,1,430,9372,15980,
30,VERACRUZ,124,PANUCO,83,139,139,6410,2788,265,2535,726,2018,21140,663,332,202,12,30,948,124,457,128,38778,19,1303,40100,69048,
30,VERACRUZ,133,PUEBLO VIEJO,40,71,71,2414,772,706,689,622,1007,11924,302,180,35,18,9,632,56,174,94,19634,6,562,20202,37161,
30,VERACRUZ,151,TAMALIN,8,15,15,762,869,24,168,147,143,2838,89,63,23,2,0,97,18,32,19,5294,2,159,5455,8491,
30,VERACRUZ,153,TAMPICO ALTO,19,24,24,851,245,30,900,92,168,2429,98,48,16,0,3,112,9,69,14,5084,1,146,5231,8978,
30,VERACRUZ,154,TANCOCO,7,9,9,234,95,60,353,74,239,1540,66,14,3,0,1,38,11,26,14,2768,0,71,2839,4356,
30,VERACRUZ,155,TANTIMA,11,16,16,1041,500,31,345,136,184,2707,99,52,35,5,0,102,20,51,16,5324,1,217,5542,8618,
30,VERACRUZ,207,EL HIGO,16,29,29,1201,1070,77,491,156,257,5766,171,126,29,5,3,196,21,74,25,9668,1,324,9993,14737,
30,VERACRUZ,37,CITLALTEPETL,9,14,14,1156,751,29,161,101,460,1805,45,65,19,5,1,80,10,17,15,4720,1,157,4878,7500,
30,VERACRUZ,57,CHALMA,9,20,20,437,404,79,1395,267,153,2311,111,36,14,7,2,120,21,56,19,5432,1,251,5684,9609,
