ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,1,PANUCO,242,400,404,18444,9028,1893,9136,3969,5392,64360,2103,114325,35,3770,118130,197277,
30,VERACRUZ,2,TANTOYUCA,205,380,383,29061,9479,3579,9218,4764,5380,55116,2366,118963,18,4607,123588,199892,
30,VERACRUZ,3,TUXPAN,166,390,395,14747,7465,5564,9403,5684,11180,63396,2991,120430,249,4161,124840,220578,
30,VERACRUZ,4,ALAMO TEMAPACHE,210,408,411,18712,14147,3348,9086,5343,9341,57426,3225,120628,39,8997,129664,216984,
30,VERACRUZ,5,POZA RICA DE HIDALGO,142,323,330,13924,7372,2721,5186,3746,10755,64042,2751,110497,79,2814,113390,187023,
30,VERACRUZ,6,PAPANTLA,155,374,378,14022,10118,12255,9941,4658,10007,60498,1985,123484,20,4488,127992,213200,
30,VERACRUZ,7,MARTINEZ DE LA TORRE,181,365,372,13159,6510,6323,7454,3168,6728,57202,2202,102746,54,3342,106142,190192,
30,VERACRUZ,8,MISANTLA,215,402,409,14688,7612,2006,12938,8748,8526,55157,5442,115117,32,4318,119467,199164,
30,VERACRUZ,9,PEROTE,132,363,367,9016,19028,1725,11580,4365,12476,52251,2449,112890,48,4560,117498,198396,
30,VERACRUZ,10,XALAPA,111,318,323,31249,18986,3046,5281,3151,10839,45876,3032,121460,125,3464,125049,192591,
30,VERACRUZ,11,XALAPA,157,345,347,23336,17522,2618,6222,3719,12678,54119,4425,124639,102,3912,128653,201620,
30,VERACRUZ,12,COATEPEC,123,345,349,15690,19430,2317,6700,6197,9298,56615,3260,119507,72,4784,124363,201027,
30,VERACRUZ,13,EMILIANO ZAPATA,170,375,379,16174,10590,1686,6507,3990,14528,63072,3548,120095,62,3409,123566,203685,
30,VERACRUZ,14,VERACRUZ,170,401,405,38212,6263,1610,6513,4001,10115,65945,1640,134299,91,3015,137405,236988,
30,VERACRUZ,15,VERACRUZ,206,427,433,50593,8587,1946,6789,4861,10556,62646,2071,148049,66,3135,151250,248519,
30,VERACRUZ,16,BOCA DEL RIO,157,364,371,49439,8039,1705,12264,1645,6861,44471,1253,125677,42,6342,132061,213360,
30,VERACRUZ,17,ALVARADO,172,388,391,28457,10486,2421,9736,3827,6315,55216,2080,118538,29,4358,122925,206490,
30,VERACRUZ,18,HUATUSCO,121,341,346,21192,15299,3034,7973,3992,10923,44399,3158,109970,51,5306,115327,197703,
30,VERACRUZ,19,CORDOBA,158,372,378,21360,10838,1825,7129,4085,10606,68570,2297,126710,103,3641,130454,210719,
30,VERACRUZ,20,ORIZABA,168,397,404,22664,15855,2960,7145,4479,22652,62562,5402,143719,133,4735,148587,224656,
30,VERACRUZ,21,RIO BLANCO,120,318,323,13091,8374,3829,10819,4001,11386,54199,2981,108680,66,4331,113077,187893,
30,VERACRUZ,22,ZONGOLICA,134,338,342,16191,17259,3899,9122,4954,5582,38512,2769,98288,37,5975,104300,190012,
30,VERACRUZ,23,COSAMALOAPAN,203,386,390,15096,9035,1376,5884,3695,7359,65164,3973,111582,69,3831,115482,201118,
30,VERACRUZ,24,SANTIAGO TUXTLA,182,358,363,9875,6938,9224,6860,4441,7774,59358,1917,106387,21,4669,111077,197417,
30,VERACRUZ,25,SAN ANDRES TUXTLA,138,338,341,10594,6523,2197,5001,4227,12967,48701,1856,92066,25,3964,96055,192396,
30,VERACRUZ,26,COSOLEACAQUE,136,338,340,7848,16918,2313,4457,4137,5450,64048,2654,107825,87,4062,111974,191665,
30,VERACRUZ,27,ACAYUCAN,176,395,402,10144,6455,5097,14175,4335,5796,69140,3178,118320,48,4324,122692,211478,
30,VERACRUZ,28,MINATITLAN,156,337,339,7758,5443,1150,5058,4462,8495,67264,1853,101483,71,2825,104379,174546,
30,VERACRUZ,29,COATZACOALCOS,172,343,347,8813,7273,1140,4475,4596,18463,65183,2243,112186,73,2695,114954,191074,
30,VERACRUZ,30,COATZACOALCOS,159,356,361,4979,6733,1708,4533,4826,8927,68491,1873,102070,25,3378,105473,183102,
