ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMV,PVEM_PT_MORENA,PVEM_PT_FXMV,PVEM_MORENA_FXMV,PT_MORENA_FXMV,PVEM_PT,PVEM_MORENA,PVEM_FXMV,PT_MORENA,PT_FXMV,MORENA_FXMV,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,1,PANUCO,242,400,402,17258,9383,1424,6699,2382,4956,62473,1450,1151,469,62,31,397,2511,80,81,57,338,1079,85,349,41,159,112915,23,2924,115862,197277,
30,VERACRUZ,2,TANTOYUCA,205,380,381,30503,10061,3180,7200,3273,4905,53544,1838,1355,493,114,38,279,1836,136,83,60,402,636,77,300,50,126,120489,27,3607,124123,199892,
30,VERACRUZ,3,TUXPAN,166,390,392,17117,8402,4618,6189,3243,11601,60919,1825,1689,363,101,39,512,3243,113,102,77,343,963,82,491,34,161,122227,25,3259,125511,220578,
30,VERACRUZ,4,ALAMO TEMAPACHE,210,408,409,19538,15108,3049,7502,4632,7742,57611,2336,1371,398,105,54,258,2075,114,77,69,401,684,77,343,44,174,123762,27,4748,128537,216984,
30,VERACRUZ,5,POZA RICA DE HIDALGO,142,323,325,16796,8278,2007,2675,1710,10040,60162,1436,1603,288,74,30,518,3276,141,112,110,260,828,107,461,50,154,111116,58,1971,113145,187023,
30,VERACRUZ,6,PAPANTLA,155,374,375,17076,10944,7033,7901,3082,8928,60379,1670,1728,287,127,67,313,2363,118,75,53,345,695,67,328,35,89,123703,12,3390,127105,213200,
30,VERACRUZ,7,MARTINEZ DE LA TORRE,181,365,367,14985,7324,3400,5485,1677,6736,56620,1145,1298,265,101,29,362,2424,72,83,59,252,841,70,322,32,151,103733,16,2433,106182,190192,
30,VERACRUZ,8,MISANTLA,215,402,405,19879,10135,1827,9237,4376,6287,55955,1956,1338,383,59,19,298,2379,120,74,52,476,947,108,513,53,193,116664,22,2967,119653,199164,
30,VERACRUZ,9,PEROTE,132,363,364,9440,25883,1270,8526,2567,7765,50238,1647,1915,655,52,70,393,2085,136,68,52,327,873,142,295,66,126,114591,33,3531,118155,198396,
30,VERACRUZ,10,XALAPA,111,318,319,32571,21477,1757,2241,1129,9217,40990,881,4036,826,103,54,434,2459,49,78,65,134,568,23,359,12,113,119576,71,2178,121825,192591,
30,VERACRUZ,11,XALAPA,157,345,346,29000,20669,1675,2556,1225,11255,47162,1085,3881,820,94,76,562,2949,51,110,78,171,744,47,407,15,137,124769,76,2564,127409,201620,
30,VERACRUZ,12,COATEPEC,123,345,346,18927,22428,1678,3680,3345,8545,52167,1540,2336,651,71,54,390,2496,126,78,88,353,699,50,515,38,148,120403,85,3470,123958,201027,
30,VERACRUZ,13,EMILIANO ZAPATA,170,375,376,20816,12694,1260,3930,2274,9751,60642,1250,1837,486,68,21,374,2664,91,77,62,208,770,42,444,30,151,119942,34,2370,122346,203685,
30,VERACRUZ,14,VERACRUZ,170,401,402,39881,6447,896,3147,1528,11889,60605,744,2434,652,93,10,630,3887,69,135,82,184,911,30,487,14,113,134868,67,2292,137227,236988,
30,VERACRUZ,15,VERACRUZ,206,427,428,53514,9255,821,2952,1613,12268,56698,863,3132,863,112,46,569,3462,109,122,125,159,940,55,507,23,111,148319,54,2212,150585,248519,
30,VERACRUZ,16,BOCA DEL RIO,157,364,366,50588,8869,778,6697,1175,8643,44398,738,2759,770,79,33,344,2507,40,107,66,171,866,55,344,11,109,130147,24,2261,132432,213360,
30,VERACRUZ,17,ALVARADO,172,388,390,26525,11001,1511,6028,2241,7787,55395,1324,1852,611,98,33,694,2161,201,199,74,332,1003,122,385,55,159,119791,33,3641,123465,206490,
30,VERACRUZ,18,HUATUSCO,121,341,344,25279,16051,2367,5628,2665,8080,41190,2120,2522,911,117,49,268,1812,153,86,57,341,659,91,277,50,178,110951,55,3990,114996,197703,
30,VERACRUZ,19,CORDOBA,158,372,373,24112,12864,1237,3663,1719,10826,63483,1151,1851,579,47,32,529,2769,103,121,147,203,807,51,485,54,151,126984,66,2614,129664,210719,
30,VERACRUZ,20,ORIZABA,168,397,399,26131,15322,1626,3818,2202,14693,70252,1736,2442,544,68,47,611,3439,86,86,113,210,855,39,526,28,141,145015,75,3077,148167,224656,
30,VERACRUZ,21,RIO BLANCO,120,318,320,16606,9497,2784,5548,2275,10505,53689,1428,1419,357,87,58,402,2729,61,95,72,226,775,50,382,27,102,109174,42,3420,112636,187893,
30,VERACRUZ,22,ZONGOLICA,134,338,339,18700,17785,3329,6911,3439,5297,37563,1841,1556,672,125,80,248,1592,100,62,48,358,601,64,269,43,88,100771,29,5019,105819,190012,
30,VERACRUZ,23,COSAMALOAPAN,203,386,387,19606,11092,1041,3617,1912,5526,60900,1323,1459,504,51,28,356,2490,102,115,64,326,856,75,415,30,187,112075,47,3048,115170,201118,
30,VERACRUZ,24,SANTIAGO TUXTLA,182,358,360,13037,8357,4370,4584,2774,5753,59421,1120,1406,308,112,82,374,2836,143,78,50,441,873,67,461,42,144,106833,10,3458,110301,197417,
30,VERACRUZ,25,SAN ANDRES TUXTLA,138,338,339,13554,7487,1828,3023,2529,7611,47462,1235,1532,381,85,42,304,2586,79,72,51,273,615,42,506,50,131,91478,19,3216,94713,192396,
30,VERACRUZ,26,COSOLEACAQUE,136,338,339,9532,14348,1642,2779,2431,5118,65441,1291,1193,288,57,44,458,2679,91,89,73,235,548,59,426,54,137,109013,25,2806,111844,191665,
30,VERACRUZ,27,ACAYUCAN,176,395,397,12039,7320,4815,9999,2612,4313,69213,1792,1008,278,89,37,465,2865,110,115,131,459,1138,76,370,45,163,119452,26,3173,122651,211478,
30,VERACRUZ,28,MINATITLAN,156,337,338,10932,6376,990,3007,2669,5064,65990,964,863,206,48,35,413,2925,90,85,70,222,636,45,494,35,118,102277,32,2077,104386,174546,
30,VERACRUZ,29,COATZACOALCOS,172,343,344,12638,8651,853,2229,2659,9109,67582,758,1374,226,42,35,748,3758,61,123,149,174,637,66,675,44,158,112749,60,1865,114674,191074,
30,VERACRUZ,30,COATZACOALCOS,159,356,358,7190,7840,1704,2370,2692,4865,66444,904,959,192,51,27,494,3277,127,119,83,291,733,41,615,24,155,101197,19,2530,103746,183102,
