ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,1,PANUCO,242,400,402,17908,10017,1853,8440,3728,4956,64251,1762,112915,23,2924,115862,197277,
30,VERACRUZ,2,TANTOYUCA,205,380,381,31259,10778,3707,8514,4396,4905,54805,2125,120489,27,3607,124123,199892,
30,VERACRUZ,3,TUXPAN,166,390,392,17913,9166,5250,8164,4949,11601,62997,2187,122227,25,3259,125511,220578,
30,VERACRUZ,4,ALAMO TEMAPACHE,210,408,409,20247,15791,3585,8905,5841,7742,59018,2633,123762,27,4748,128537,216984,
30,VERACRUZ,5,POZA RICA DE HIDALGO,142,323,325,17512,8971,2593,4579,3400,10040,62181,1840,111116,58,1971,113145,187023,
30,VERACRUZ,6,PAPANTLA,155,374,375,17860,11697,7705,9386,4358,8928,61846,1923,123703,12,3390,127105,213200,
30,VERACRUZ,7,MARTINEZ DE LA TORRE,181,365,367,15602,7904,3896,7017,2922,6736,58225,1431,103733,16,2433,106182,190192,
30,VERACRUZ,8,MISANTLA,215,402,405,20547,10782,2311,10935,5821,6287,57694,2287,116664,22,2967,119653,199164,
30,VERACRUZ,9,PEROTE,132,363,364,10431,26885,1969,10059,3765,7765,51721,1996,114591,33,3531,118155,198396,
30,VERACRUZ,10,XALAPA,111,318,319,34382,23262,3180,3576,2346,9217,42488,1125,119576,71,2178,121825,192591,
30,VERACRUZ,11,XALAPA,157,345,346,30751,22411,3053,4216,2687,11255,48994,1402,124769,76,2564,127409,201620,
30,VERACRUZ,12,COATEPEC,123,345,346,20067,23560,2518,5229,4797,8545,53835,1852,120403,85,3470,123958,201027,
30,VERACRUZ,13,EMILIANO ZAPATA,170,375,376,21706,13560,1916,5479,3647,9751,62354,1529,119942,34,2370,122346,203685,
30,VERACRUZ,14,VERACRUZ,170,401,402,41066,7589,1758,5231,3372,11889,62889,1074,134868,67,2292,137227,236988,
30,VERACRUZ,15,VERACRUZ,206,427,428,55046,10753,1944,4904,3331,12268,58858,1215,148319,54,2212,150585,248519,
30,VERACRUZ,16,BOCA DEL RIO,157,364,366,51933,10191,1752,8216,2394,8643,46038,980,130147,24,2261,132432,213360,
30,VERACRUZ,17,ALVARADO,172,388,390,27498,11940,2193,7783,3612,7787,57157,1821,119791,33,3641,123465,206490,
30,VERACRUZ,18,HUATUSCO,121,341,344,26635,17372,3289,6925,3739,8080,42467,2444,110951,55,3990,114996,197703,
30,VERACRUZ,19,CORDOBA,158,372,373,25043,13786,1893,5324,3227,10826,65352,1533,126984,66,2614,129664,210719,
30,VERACRUZ,20,ORIZABA,168,397,399,27251,16432,2497,5727,3950,14693,72381,2084,145015,75,3077,148167,224656,
30,VERACRUZ,21,RIO BLANCO,120,318,320,17302,10177,3329,7137,3646,10505,55386,1692,109174,42,3420,112636,187893,
30,VERACRUZ,22,ZONGOLICA,134,338,339,19618,18680,3949,8070,4415,5297,38673,2069,100771,29,5019,105819,190012,
30,VERACRUZ,23,COSAMALOAPAN,203,386,387,20371,11844,1566,5237,3271,5526,62610,1650,112075,47,3048,115170,201118,
30,VERACRUZ,24,SANTIAGO TUXTLA,182,358,360,13716,9021,4935,6388,4348,5753,61244,1428,106833,10,3458,110301,197417,
30,VERACRUZ,25,SAN ANDRES TUXTLA,138,338,339,14299,8209,2401,4477,3924,7611,49068,1489,91478,19,3216,94713,192396,
30,VERACRUZ,26,COSOLEACAQUE,136,338,339,10103,14912,2089,4270,3849,5118,67060,1612,109013,25,2806,111844,191665,
30,VERACRUZ,27,ACAYUCAN,176,395,397,12559,7814,5213,11982,4201,4313,71204,2166,119452,26,3173,122651,211478,
30,VERACRUZ,28,MINATITLAN,156,337,338,11347,6785,1318,4595,4178,5064,67748,1252,102287,32,2077,104396,174546,
30,VERACRUZ,29,COATZACOALCOS,172,343,344,13230,9240,1349,4167,4616,9109,69849,1189,112749,60,1865,114674,191074,
30,VERACRUZ,30,COATZACOALCOS,159,356,358,7632,8270,2061,4199,4444,4865,68482,1244,101197,2530,19,103746,183102,
