ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMV,PVEM_PT_MORENA,PVEM_PT_FXMV,PVEM_MORENA_FXMV,PT_MORENA_FXMV,PVEM_PT,PVEM_MORENA,PVEM_FXMV,PT_MORENA,PT_FXMV,MORENA_FXMV,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
30,VERACRUZ,15,NARANJOS AMATLAN,19,35,35,2030,1043,125,445,274,624,6473,149,139,45,6,4,49,296,12,7,18,49,94,4,40,4,15,11945,1,259,12205,19074,
30,VERACRUZ,62,CHINAMPA DE GOROSTIZA,10,23,23,1113,285,54,255,124,211,3419,91,52,15,3,3,24,123,9,4,0,21,45,4,19,1,13,5888,2,135,6025,10828,
30,VERACRUZ,122,OZULUAMA,29,39,39,1752,817,73,1103,253,448,3645,145,120,76,7,2,28,138,10,10,2,26,97,24,26,3,21,8826,1,336,9163,15980,
30,VERACRUZ,124,PANUCO,83,139,139,5707,3346,297,2161,625,1799,21824,430,341,176,15,5,114,866,16,34,15,109,440,24,105,18,46,38513,8,1053,39574,69048,
30,VERACRUZ,133,PUEBLO VIEJO,40,71,71,2286,832,646,675,544,915,12016,207,183,41,12,11,72,597,7,7,14,52,169,10,78,3,23,19400,7,489,19896,37161,
30,VERACRUZ,151,TAMALIN,8,15,15,794,911,20,177,127,163,2793,76,63,20,3,0,16,89,6,4,2,14,26,2,21,2,7,5336,1,104,5441,8491,
30,VERACRUZ,153,TAMPICO ALTO,19,24,24,917,260,33,830,96,145,2443,68,47,36,2,3,28,91,2,2,1,9,56,4,14,1,4,5092,1,109,5202,8978,
30,VERACRUZ,154,TANCOCO,7,9,9,279,109,61,303,64,273,1510,54,19,0,0,1,2,40,0,1,0,12,27,3,14,1,4,2777,0,54,2831,4356,
30,VERACRUZ,155,TANTIMA,11,16,16,1096,537,39,319,123,172,2695,85,61,28,4,0,15,99,8,5,0,21,44,6,9,2,12,5380,0,151,5531,8618,
30,VERACRUZ,207,EL HIGO,16,29,29,1284,1243,76,430,151,205,5653,145,126,32,10,2,49,172,10,7,5,25,80,4,23,6,14,9752,2,234,9988,14737,
30,VERACRUZ,37,CITLALTEPETL,9,14,14,1252,802,32,148,101,201,1920,31,69,20,3,2,7,70,5,0,2,14,21,4,21,1,5,4731,0,128,4859,7500,
30,VERACRUZ,57,CHALMA,9,20,20,516,428,74,1275,237,125,2203,76,36,15,3,4,16,102,4,4,2,26,45,3,17,0,3,5214,0,154,5368,9609,
30,VERACRUZ,58,CHICONAMEL,6,9,9,233,340,149,139,113,92,1457,64,40,18,5,1,3,38,4,0,1,9,15,2,10,2,5,2740,0,104,2844,4856,
30,VERACRUZ,60,CHICONTEPEC,47,82,82,2348,1852,1028,2453,1078,1148,12483,461,174,63,19,14,52,411,31,23,13,80,168,22,63,12,16,24012,12,839,24863,39497,
30,VERACRUZ,65,CHONTLA,10,19,19,1341,1104,144,202,191,261,2470,100,82,33,4,1,8,65,4,4,4,28,29,1,14,1,11,6102,0,197,6299,9486,
30,VERACRUZ,80,IXCATEPEC,8,16,16,657,491,1032,267,160,188,2707,96,70,7,11,1,17,52,19,5,3,13,27,3,11,6,7,5850,0,149,5999,8930,
30,VERACRUZ,130,PLATON SANCHEZ,14,24,24,2130,354,68,264,187,193,3418,121,101,29,3,2,9,117,16,5,3,26,27,10,18,6,8,7115,0,240,7355,12993,
30,VERACRUZ,156,TANTOYUCA,60,128,128,18708,2508,415,1535,708,1395,16361,471,556,211,43,7,74,601,30,19,18,109,195,10,73,8,35,44090,14,1104,45208,71378,
