CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,FXMV,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PVEM_PT_MORENA_FXMV,PVEM_PT_MORENA,PVEM_PT_FXMV,PVEM_MORENA_FXMV,PT_MORENA_FXMV,PVEM_PT,PVEM_MORENA,PVEM_FXMV,PT_MORENA,PT_FXMV,MORENA_FXMV,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,30,VERACRUZ,1,PANUCO,0,VOTO ANTICIPADO,0,0,2,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,6,6
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,320,1,1,56,33,6,19,14,18,243,10,4,0,0,0,2,7,0,1,1,0,0,0,1,0,0,415,0,8,423,683
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,321,2,2,89,63,5,20,16,30,405,5,15,0,0,0,3,16,0,1,1,0,7,0,4,0,1,681,0,6,687,999
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,322,2,2,114,79,7,9,8,31,374,3,7,5,0,0,1,12,0,1,5,0,8,0,2,0,0,666,0,9,675,1020
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,323,1,1,88,43,7,17,11,31,223,4,6,3,0,0,0,21,1,0,1,0,6,0,0,0,2,464,0,14,478,738
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,324,2,2,137,48,3,18,12,41,393,8,10,6,0,0,1,22,0,1,0,5,6,0,2,0,0,713,0,22,735,1158
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,325,2,2,124,70,11,30,11,28,409,8,11,4,1,0,1,22,0,0,1,2,8,0,3,0,0,744,0,14,758,1204
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,326,1,1,67,19,1,8,4,8,150,2,8,3,0,0,2,8,0,0,0,0,0,0,3,0,1,284,0,6,290,447
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,327,1,1,52,27,2,5,2,15,168,3,3,1,0,0,2,7,0,0,1,0,1,0,2,0,0,291,0,0,291,506
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,328,3,3,174,72,14,34,22,56,651,10,11,2,1,0,4,42,1,0,1,2,9,0,7,1,1,1115,1,20,1136,1811
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,329,3,3,177,85,9,27,34,56,589,15,15,5,0,2,17,20,0,1,4,1,4,2,1,1,1,1066,0,19,1085,1165
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,330,4,4,217,89,16,50,22,77,829,18,17,5,2,1,3,26,0,1,0,6,14,0,5,0,2,1400,0,32,1432,2424
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,331,2,2,98,61,8,18,15,38,355,5,10,0,0,1,6,17,2,0,1,4,4,0,2,0,0,645,0,17,662,938
3,30,VERACRUZ,1,PANUCO,15,NARANJOS AMATLAN,332,1,1,96,85,4,23,8,21,247,5,9,1,0,0,1,10,0,0,0,0,3,0,1,0,1,515,0,6,521,700
