CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR_POLITICO,NUMERO_LISTA,PERSONA_CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION_AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO_POLITICO
3,30,VERACRUZ,,,,,,,GOB,PVEM_PT_MORENA_FXMV,1,NORMA ROCIO NAHLE GARCIA,2,,,MORENA
3,30,VERACRUZ,1,PANUCO,,,,,DIP_LOC_MR,PVEM_PT_MORENA,1,LUCIA BEGOÑA CANALES BARTUREN,2,,,MORENA
3,30,VERACRUZ,2,TANTOYUCA,,,,,DIP_LOC_MR,PVEM_PT_MORENA,2,ROBERTO FRANCISCO SAN ROMAN SOLANA,1,CANDIDATURAS INDIGENAS,,MORENA
3,30,VERACRUZ,3,TUXPAN,,,,,DIP_LOC_MR,PVEM_PT_MORENA,3,DANIEL CORTINA MARTINEZ,2,,,MORENA
3,30,VERACRUZ,4,ALAMO,,,,,DIP_LOC_MR,MORENA,4,IMELDA GARRIDO ALVARADO,2,,,MORENA
3,30,VERACRUZ,5,POZA RICA,,,,,DIP_LOC_MR,PVEM_PT_MORENA,5,JANETH ADANELY RODRIGUEZ RODRIGUEZ,2,,,MORENA
3,30,VERACRUZ,6,PAPANTLA,,,,,DIP_LOC_MR,PVEM_PT_MORENA,6,MIRIAM GARCIA GUZMAN,2,CANDIDATURAS INDIGENAS,,MORENA
3,30,VERACRUZ,7,MARTINEZ DE LA TORRE,,,,,DIP_LOC_MR,PVEM_PT_MORENA,7,LIUD HERRERA  FELIX,2,,,MORENA
3,30,VERACRUZ,8,MISANTLA,,,,,DIP_LOC_MR,PVEM_PT_MORENA,8,LUIS VICENTE AGUILAR CASTILLO,2,,,PT
3,30,VERACRUZ,9,PEROTE,,,,,DIP_LOC_MR,PVEM_PT_MORENA,9,PAUL MARTINEZ MARIE,1,,,MORENA
3,30,VERACRUZ,10,XALAPA,,,,,DIP_LOC_MR,PVEM_PT_MORENA,10,ANTONIO BALLESTEROS GRAYEB,1,,,MORENA
3,30,VERACRUZ,11,XALAPA,,,,,DIP_LOC_MR,PVEM_PT_MORENA,11,DORHENY GARCIA CAYETANO,2,,,MORENA
3,30,VERACRUZ,12,COATEPEC,,,,,DIP_LOC_MR,PVEM_PT_MORENA,12,RAMON DIAZ AVILA,2,,,PT
