ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_PRD_NAY,PAN_PRI_PRD,PAN_PRI_NAY,PAN_PRD_NAY,PRI_PRD_NAY,PAN_PRI,PAN_PRD,PAN_NAY,PRI_PRD,PRI_NAY,PRD_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,1,ABALA,6,11,11,1533,1593,0,0,419,0,858,239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4642,0,105,4747,5248,
31,YUCATAN,2,ACANCEH,7,19,19,0,0,0,0,144,3186,0,1630,0,0,0,0,0,3848,0,0,0,0,0,0,0,1436,0,10244,3,491,10738,12757,
31,YUCATAN,3,AKIL,5,15,15,0,0,0,0,0,0,0,0,0,0,2758,0,0,0,0,0,0,0,0,3942,0,0,0,6700,2,110,6812,8704,
31,YUCATAN,4,BACA,5,9,9,0,0,0,0,0,1155,0,0,1256,0,0,0,0,0,0,0,0,0,0,1747,0,0,0,4158,1,113,4272,4854,
31,YUCATAN,5,BOKOBA,2,4,4,0,891,0,3,0,4,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,926,1879,0,16,1895,2042,
31,YUCATAN,6,BUCTZOTZ,6,13,13,0,0,0,0,0,0,0,0,0,0,2818,0,0,0,0,0,0,0,0,0,0,0,3323,6141,1,102,6244,7431,
31,YUCATAN,7,CACALCHEN,4,10,10,2104,0,0,0,0,6,0,0,0,0,0,0,2119,0,0,0,0,0,0,583,0,0,0,4812,0,181,4993,6028,
31,YUCATAN,8,CALOTMUL,4,7,7,621,1508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,378,0,0,0,2507,1,72,2580,3613,
31,YUCATAN,9,CANSAHCAB,6,9,9,928,876,0,0,1027,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,3141,1,103,3245,3866,
31,YUCATAN,10,CANTAMAYEC,3,4,4,468,7,0,0,0,0,0,382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,894,1751,0,28,1779,1973,
31,YUCATAN,11,CELESTUN,4,10,10,0,0,0,769,0,0,0,0,0,1557,0,0,0,0,0,0,0,0,0,0,0,0,2909,5235,0,183,5418,6391,
