CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_PRD_NAY,PAN_PRI_PRD,PAN_PRI_NAY,PAN_PRD_NAY,PRI_PRD_NAY,PAN_PRI,PAN_PRD,PAN_NAY,PRI_PRD,PRI_NAY,PRD_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,31,YUCATAN,12,UMAN,1,ABALA,1,3,3,582,647,0,0,25,0,204,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1592,0,31,1623,1787
3,31,YUCATAN,12,UMAN,1,ABALA,2,1,1,74,49,0,0,2,0,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160,0,2,162,174
3,31,YUCATAN,12,UMAN,1,ABALA,3,1,1,72,50,0,0,6,0,34,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191,0,5,196,205
3,31,YUCATAN,12,UMAN,1,ABALA,4,2,2,252,340,0,0,7,0,121,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729,0,16,745,802
3,31,YUCATAN,12,UMAN,1,ABALA,5,3,3,416,364,0,0,368,0,371,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1581,0,44,1625,1863
3,31,YUCATAN,12,UMAN,1,ABALA,6,1,1,137,143,0,0,11,0,94,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,389,0,7,396,417
3,31,YUCATAN,11,TECOH,2,ACANCEH,7,4,4,686,5,0,6,34,610,190,252,0,0,0,0,0,7,0,0,0,0,0,0,0,3,0,1793,1,87,1881,2316
3,31,YUCATAN,11,TECOH,2,ACANCEH,8,3,3,730,3,0,8,26,537,182,263,0,0,0,0,0,7,0,0,0,0,0,0,0,2,0,1758,0,76,1834,2202
3,31,YUCATAN,11,TECOH,2,ACANCEH,9,4,4,887,8,0,22,35,783,244,302,0,0,0,0,0,7,0,0,0,0,0,0,0,1,0,2289,0,106,2395,2909
3,31,YUCATAN,11,TECOH,2,ACANCEH,10,4,4,809,12,0,16,38,732,240,234,0,0,0,0,0,6,0,0,0,0,0,0,0,2,0,2089,2,113,2204,2624
3,31,YUCATAN,11,TECOH,2,ACANCEH,11,1,1,200,4,0,5,0,195,52,180,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,641,0,20,661,725
3,31,YUCATAN,11,TECOH,2,ACANCEH,12,2,2,303,3,0,10,6,221,344,240,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,1134,0,59,1193,1359
3,31,YUCATAN,11,TECOH,2,ACANCEH,13,1,1,158,7,0,5,5,108,95,159,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,540,0,30,570,622
