ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_NAY,PAN_PRI,PAN_NAY,PRI_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,1,MERIDA,100,182,182,25826,4149,446,1446,926,3855,22419,711,0,0,0,0,1560,69,404,259,62070,67,2285,64422,94178,
31,YUCATAN,2,MERIDA,68,155,155,33950,3830,292,1536,712,5109,15486,423,0,0,205,0,1024,41,211,161,62980,33,1648,64661,88777,
31,YUCATAN,3,MERIDA,46,141,141,36035,4905,327,1461,761,2959,13773,543,0,0,0,0,0,0,0,353,61117,40,2442,63599,86048,
31,YUCATAN,4,MERIDA,79,169,169,20600,4370,421,1889,1098,3770,25430,777,0,0,0,0,2141,92,346,208,61142,74,2388,63604,96321,
31,YUCATAN,5,MERIDA,66,158,158,15102,2957,352,1709,1090,3680,26160,527,248,410,26,1,1773,104,407,256,54802,23,1894,56719,92622,
31,YUCATAN,6,MERIDA,37,129,129,8822,2282,360,1279,876,2186,19960,288,0,377,0,0,1372,128,340,224,38494,25,1419,39938,81581,
31,YUCATAN,7,MERIDA,58,159,159,17315,2991,507,1758,1112,4468,25744,586,0,780,0,0,0,0,0,0,55261,42,3326,58629,94449,
31,YUCATAN,8,MERIDA,28,110,110,15727,2422,245,1157,599,5534,15875,394,0,0,0,67,1151,35,190,154,43550,37,1539,45126,72278,
31,YUCATAN,9,MERIDA,19,113,113,27865,2666,246,1124,633,2722,15036,322,0,0,211,0,911,40,183,137,52096,31,1438,53565,76609,
31,YUCATAN,10,KANASIN,25,103,103,14174,1001,215,1112,501,1320,16101,541,0,0,221,0,0,0,492,0,35678,8,2464,38150,68610,
31,YUCATAN,11,TECOH,44,119,119,15365,7321,838,2173,1286,2833,20878,3154,0,323,0,0,487,77,160,76,54971,10,2177,57158,74879,
31,YUCATAN,12,UMAN,45,133,133,14083,3647,357,1376,2164,8242,22266,1573,82,142,20,24,670,81,176,168,55071,12,2034,57117,80975,
31,YUCATAN,13,HUNUCMA,53,140,140,14733,3129,528,8207,4204,3069,25223,3457,447,450,381,122,915,322,715,549,66451,28,2033,68512,84360,
31,YUCATAN,14,PROGRESO,57,139,139,18372,6045,769,1993,3316,2973,23701,261,155,328,26,8,936,107,244,239,59473,19,1819,61311,84247,
31,YUCATAN,15,MOTUL,59,135,135,12502,3620,1108,3248,1282,4375,21413,4003,0,283,0,0,572,81,187,93,52767,52,2097,54916,78283,
31,YUCATAN,16,IZAMAL,83,161,161,16060,9403,2063,1431,3206,1444,32064,1903,336,299,22,15,906,77,132,120,69481,15,1850,71346,85253,
31,YUCATAN,17,TIZIMIN,62,146,146,19103,3273,206,3736,1133,837,29081,272,0,0,121,0,1015,164,275,176,59392,10,2177,61579,85902,
31,YUCATAN,18,TEMOZON,67,148,148,20943,4109,681,7970,1001,1214,24349,3871,302,79,93,8,0,0,0,323,64943,15,1415,66373,86086,
31,YUCATAN,19,VALLADOLID,52,136,136,12544,8195,255,2036,1318,880,26748,3570,0,0,384,0,715,103,179,235,57162,37,1651,58850,81501,
31,YUCATAN,20,TEKAX,59,141,141,15865,7132,269,5541,6127,2001,20691,1801,343,662,154,85,0,0,0,730,61401,20,1862,63283,86064,
31,YUCATAN,21,TICUL,53,147,147,21795,6860,716,2232,1736,683,28383,1265,178,255,50,26,589,89,166,132,65155,16,1791,66962,87049,
