ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_NAY,PAN_PRI,PAN_NAY,PRI_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,1,MERIDA,100,182,182,25826,4149,446,0,0,3855,0,711,0,0,0,0,27083,0,0,0,62070,67,2285,64422,94178,
31,YUCATAN,2,MERIDA,68,155,155,0,3830,292,0,0,5109,0,0,0,0,0,34578,19171,0,0,0,62980,33,1648,64661,88777,
31,YUCATAN,3,MERIDA,46,141,141,36035,4905,327,1461,0,2959,0,543,0,0,0,0,0,0,0,14887,61117,40,2442,63599,86048,
31,YUCATAN,4,MERIDA,79,169,169,20600,4370,421,0,0,3770,0,777,0,0,0,0,31204,0,0,0,61142,74,2388,63604,96321,
31,YUCATAN,5,MERIDA,66,158,158,0,0,352,0,0,3680,0,0,19271,0,0,0,31499,0,0,0,54802,23,1894,56719,92622,
31,YUCATAN,6,MERIDA,37,129,129,0,0,360,0,0,2186,0,288,0,11481,0,0,24179,0,0,0,38494,25,1419,39938,81581,
31,YUCATAN,7,MERIDA,58,159,159,0,0,507,1758,1112,4468,25744,586,0,21086,0,0,0,0,0,0,55261,42,3326,58629,94449,
31,YUCATAN,8,MERIDA,28,110,110,15727,0,245,0,0,5534,0,0,0,0,0,2883,19161,0,0,0,43550,37,1539,45126,72278,
31,YUCATAN,9,MERIDA,19,113,113,0,2666,246,0,0,2722,0,0,0,0,28398,0,18064,0,0,0,52096,31,1438,53565,76609,
31,YUCATAN,10,KANASIN,25,103,103,0,1001,215,0,501,1320,0,0,0,0,14936,0,0,0,17705,0,35678,8,2464,38150,68610,
31,YUCATAN,11,TECOH,44,119,119,0,0,838,0,0,2833,0,3154,0,23009,0,0,25137,0,0,0,54971,10,2177,57158,74879,
31,YUCATAN,12,UMAN,45,133,133,14083,3647,357,0,0,8242,0,1573,82,142,20,24,26901,0,0,0,55071,12,2034,57117,80975,
31,YUCATAN,13,HUNUCMA,53,140,140,0,0,528,0,0,3069,0,0,22719,0,0,0,40135,0,0,0,66451,28,2033,68512,84360,
31,YUCATAN,14,PROGRESO,57,139,139,0,0,769,0,0,2973,0,0,25195,0,0,0,30536,0,0,0,59473,19,1819,61311,84247,
31,YUCATAN,15,MOTUL,59,135,135,0,0,1108,0,0,4375,0,4003,0,16405,0,0,26876,0,0,0,52767,52,2097,54916,78283,
31,YUCATAN,16,IZAMAL,83,161,161,0,0,2063,0,0,1444,0,0,28038,0,0,0,37936,0,0,0,69481,15,1850,71346,85253,
31,YUCATAN,17,TIZIMIN,62,146,146,0,3273,206,0,0,837,0,0,0,0,19496,0,35580,0,0,0,59392,10,2177,61579,85902,
31,YUCATAN,18,TEMOZON,67,148,148,0,0,681,7970,0,1214,0,0,29405,0,0,0,0,0,0,25673,64943,15,1415,66373,86086,
31,YUCATAN,19,VALLADOLID,52,136,136,0,8195,255,0,0,880,0,0,0,0,16498,0,31334,0,0,0,57162,37,1651,58850,81501,
31,YUCATAN,20,TEKAX,59,141,141,0,0,269,5541,0,2001,0,0,26042,0,0,0,0,0,0,27548,61401,20,1862,63283,86064,
31,YUCATAN,21,TICUL,53,147,147,0,0,716,0,0,683,0,0,30429,0,0,0,33327,0,0,0,65155,16,1791,66962,87049,
