ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,1,MERIDA,100,182,182,25826,4149,446,2203,1609,3855,23271,711,62070,67,2285,64422,94178,
31,YUCATAN,2,MERIDA,68,155,155,34053,3830,292,2003,1153,5109,16015,525,62980,33,1648,64661,88777,
31,YUCATAN,3,MERIDA,46,141,141,36035,4905,327,1461,937,2959,13950,543,61117,40,2442,63599,86048,
31,YUCATAN,4,MERIDA,79,169,169,20600,4370,421,2822,1961,3770,26421,777,61142,74,2388,63604,96321,
31,YUCATAN,5,MERIDA,66,158,158,15403,3246,352,2555,1861,3680,27083,622,54802,23,1894,56719,92622,
31,YUCATAN,6,MERIDA,37,129,129,9011,2470,360,1970,1509,2186,20700,288,38494,25,1419,39938,81581,
31,YUCATAN,7,MERIDA,58,159,159,17705,3381,507,1758,1112,4468,25744,586,55261,42,3326,58629,94449,
31,YUCATAN,8,MERIDA,28,110,110,15727,2456,245,1654,1076,5534,16431,427,43550,37,1539,45126,72278,
31,YUCATAN,9,MERIDA,19,113,113,27971,2666,246,1539,1024,2722,15501,427,52096,31,1438,53565,76609,
31,YUCATAN,10,KANASIN,25,103,103,14285,1001,215,1358,501,1320,16347,651,35678,8,2464,38150,68610,
31,YUCATAN,11,TECOH,44,119,119,15527,7482,838,2454,1524,2833,21159,3154,54971,10,2177,57158,74879,
31,YUCATAN,12,UMAN,45,133,133,14192,3757,357,1727,2512,8242,22662,1622,55071,12,2034,57117,80975,
31,YUCATAN,13,HUNUCMA,53,140,140,15298,3564,528,9030,4944,3069,26161,3857,66451,28,2033,68512,84360,
31,YUCATAN,14,PROGRESO,57,139,139,18601,6265,769,2481,3800,2973,24255,329,59473,19,1819,61311,84247,
31,YUCATAN,15,MOTUL,59,135,135,12643,3762,1108,3573,1558,4375,21745,4003,52767,52,2097,54916,78283,
31,YUCATAN,16,IZAMAL,83,161,161,16332,9673,2063,1837,3607,1444,32492,2033,69481,15,1850,71346,85253,
31,YUCATAN,17,TIZIMIN,62,146,146,19164,3273,206,4293,1641,837,29646,332,59392,10,2177,61579,85902,
31,YUCATAN,18,TEMOZON,67,148,148,21131,4253,681,7970,1162,1214,24511,4021,64943,15,1415,66373,86086,
31,YUCATAN,19,VALLADOLID,52,136,136,12736,8195,255,2415,1724,880,27195,3762,57162,37,1651,58850,81501,
31,YUCATAN,20,TEKAX,59,141,141,16388,7620,269,5541,6492,2001,21056,2034,61401,20,1862,63283,86064,
31,YUCATAN,21,TICUL,53,147,147,22008,7059,716,2556,2042,683,28729,1362,65155,16,1791,66962,87049,
