CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_NAY,PAN_PRI,PAN_NAY,PRI_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,31,YUCATAN,12,UMAN,1,ABALA,1,3,3,526,320,3,31,24,190,425,39,1,0,1,0,8,1,4,1,1574,0,49,1623,1787
3,31,YUCATAN,12,UMAN,1,ABALA,2,1,1,46,33,2,0,2,7,68,0,0,0,0,0,0,0,0,1,159,0,3,162,174
3,31,YUCATAN,12,UMAN,1,ABALA,3,1,1,62,27,0,6,3,11,63,13,1,0,0,0,1,0,0,0,187,0,10,197,205
3,31,YUCATAN,12,UMAN,1,ABALA,4,2,2,203,171,3,17,9,41,267,3,0,0,0,0,6,0,0,0,720,0,16,736,802
3,31,YUCATAN,12,UMAN,1,ABALA,5,3,3,392,292,3,3,278,69,464,36,1,2,0,0,1,1,0,13,1555,0,48,1603,1863
3,31,YUCATAN,12,UMAN,1,ABALA,6,1,1,117,90,0,7,7,5,157,2,1,0,0,0,1,0,1,0,388,0,7,395,417
3,31,YUCATAN,11,TECOH,2,ACANCEH,7,4,4,521,57,5,42,44,270,643,204,0,7,0,0,6,4,2,2,1807,0,77,1884,2316
3,31,YUCATAN,11,TECOH,2,ACANCEH,8,3,3,561,51,8,35,42,247,614,176,0,4,0,0,3,2,3,0,1746,0,79,1825,2202
3,31,YUCATAN,11,TECOH,2,ACANCEH,9,4,4,652,59,5,60,47,415,721,280,0,7,0,0,4,5,4,2,2261,0,94,2355,2909
3,31,YUCATAN,11,TECOH,2,ACANCEH,10,4,4,590,45,13,46,41,358,790,184,0,3,0,0,8,2,2,2,2084,0,120,2204,2624
3,31,YUCATAN,11,TECOH,2,ACANCEH,11,1,1,138,5,0,13,9,261,139,70,0,1,0,0,0,0,3,0,639,0,22,661,725
3,31,YUCATAN,11,TECOH,2,ACANCEH,12,2,2,219,17,7,26,7,106,609,125,0,2,0,0,5,2,4,1,1130,0,62,1192,1359
3,31,YUCATAN,11,TECOH,2,ACANCEH,13,1,1,113,16,1,11,8,47,249,95,0,1,0,0,5,0,1,2,549,0,23,572,622
3,31,YUCATAN,20,TEKAX,3,AKIL,14,3,3,290,255,3,27,546,6,167,13,13,18,1,0,0,0,0,14,1353,0,56,1409,1758
3,31,YUCATAN,20,TEKAX,3,AKIL,15,4,4,335,331,4,51,758,7,193,7,12,17,1,0,0,0,0,31,1747,0,78,1825,2280
3,31,YUCATAN,20,TEKAX,3,AKIL,16,3,3,209,259,4,13,439,3,171,5,9,14,1,1,0,0,0,11,1139,0,55,1194,1504
3,31,YUCATAN,20,TEKAX,3,AKIL,17,3,3,264,307,1,24,572,10,187,5,5,10,1,0,0,0,0,3,1389,0,67,1456,1915
3,31,YUCATAN,20,TEKAX,3,AKIL,18,2,2,131,226,0,12,302,3,112,7,8,12,0,0,0,0,0,7,820,0,39,859,1247
3,31,YUCATAN,15,MOTUL,4,BACA,20,3,3,220,110,1,180,15,297,456,5,0,1,0,0,15,2,5,1,1308,3,45,1356,1527
3,31,YUCATAN,15,MOTUL,4,BACA,21,2,2,154,74,4,152,12,234,282,4,0,6,0,0,6,2,0,0,930,0,46,976,1123
3,31,YUCATAN,15,MOTUL,4,BACA,22,2,2,154,59,0,92,8,134,195,11,0,5,0,0,5,2,7,1,673,0,12,685,778
3,31,YUCATAN,15,MOTUL,4,BACA,23,1,1,131,42,6,93,7,120,208,4,0,3,0,0,7,2,5,0,628,0,25,653,731
3,31,YUCATAN,15,MOTUL,4,BACA,24,1,1,80,41,1,151,9,56,229,4,0,4,0,0,7,2,10,1,595,0,16,611,695
3,31,YUCATAN,16,IZAMAL,5,BOKOBA,25,2,2,70,370,2,6,3,12,445,4,0,2,0,0,5,0,0,0,919,0,13,932,984
3,31,YUCATAN,16,IZAMAL,5,BOKOBA,26,2,2,65,333,0,5,4,12,254,2,0,2,0,0,0,0,2,1,680,0,15,695,1058
3,31,YUCATAN,16,IZAMAL,6,BUCTZOTZ,27,3,3,593,62,3,14,13,21,773,2,2,6,0,0,10,0,1,3,1503,0,30,1533,1867
3,31,YUCATAN,16,IZAMAL,6,BUCTZOTZ,28,3,3,574,50,1,12,12,27,927,1,0,5,0,0,6,3,4,6,1628,1,23,1652,2043
3,31,YUCATAN,16,IZAMAL,6,BUCTZOTZ,29,3,3,419,75,4,10,8,15,714,1,1,5,0,0,3,0,0,0,1255,0,13,1268,1523
3,31,YUCATAN,16,IZAMAL,6,BUCTZOTZ,30,2,2,353,42,3,10,9,28,465,0,0,2,0,0,2,0,0,0,914,0,15,929,1099
3,31,YUCATAN,16,IZAMAL,6,BUCTZOTZ,31,1,1,161,11,0,4,2,2,190,0,0,0,0,0,4,0,1,0,375,0,10,385,425
3,31,YUCATAN,16,IZAMAL,6,BUCTZOTZ,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,474
3,31,YUCATAN,15,MOTUL,7,CACALCHEN,33,2,2,169,215,12,11,8,10,361,13,0,1,0,0,3,1,0,0,804,0,32,836,964
3,31,YUCATAN,15,MOTUL,7,CACALCHEN,34,3,3,419,362,8,30,9,20,718,27,0,0,0,0,6,4,0,2,1605,0,57,1662,1998
3,31,YUCATAN,15,MOTUL,7,CACALCHEN,35,2,2,205,350,6,25,10,18,495,14,0,5,0,0,2,1,1,0,1132,0,46,1178,1480
3,31,YUCATAN,15,MOTUL,7,CACALCHEN,36,3,3,239,339,13,35,13,19,581,10,0,1,0,0,4,0,1,0,1255,0,66,1321,1586
3,31,YUCATAN,18,TEMOZON,8,CALOTMUL,37,2,2,154,237,4,16,6,3,145,0,0,1,0,0,0,0,0,1,567,0,28,595,1386
3,31,YUCATAN,18,TEMOZON,8,CALOTMUL,38,2,2,86,209,3,11,3,8,138,2,0,1,0,0,0,0,0,0,461,0,20,481,1073
3,31,YUCATAN,18,TEMOZON,8,CALOTMUL,39,1,1,38,122,0,17,8,6,152,0,0,1,0,0,0,0,0,0,344,0,15,359,394
3,31,YUCATAN,18,TEMOZON,8,CALOTMUL,40,2,2,65,297,1,12,12,7,261,2,0,0,0,0,0,0,0,2,659,0,25,684,760
3,31,YUCATAN,16,IZAMAL,9,CANSAHCAB,41,1,1,140,104,3,6,114,10,180,8,0,1,0,0,3,0,1,2,572,0,25,597,690
3,31,YUCATAN,16,IZAMAL,9,CANSAHCAB,42,2,2,177,158,4,10,165,25,252,12,0,0,0,0,7,2,2,2,816,0,20,836,1034
3,31,YUCATAN,16,IZAMAL,9,CANSAHCAB,43,2,2,125,113,2,15,182,18,222,23,1,0,1,0,8,1,0,1,712,0,22,734,865
3,31,YUCATAN,16,IZAMAL,9,CANSAHCAB,44,2,2,184,95,8,19,165,17,335,7,0,0,0,0,3,4,0,5,842,0,27,869,948
3,31,YUCATAN,16,IZAMAL,9,CANSAHCAB,45,1,1,32,13,1,5,44,3,51,1,0,0,0,0,0,0,0,2,152,0,9,161,184
3,31,YUCATAN,16,IZAMAL,9,CANSAHCAB,46,1,1,32,23,0,5,29,2,27,5,0,0,0,0,0,0,0,0,123,0,7,130,145
3,31,YUCATAN,18,TEMOZON,10,CANTAMAYEC,47,2,2,180,11,3,12,5,6,324,64,0,0,1,0,0,0,0,0,606,0,15,621,1407
3,31,YUCATAN,18,TEMOZON,10,CANTAMAYEC,48,1,1,92,7,1,11,7,17,132,36,0,0,0,0,0,0,0,0,303,0,5,308,341
3,31,YUCATAN,18,TEMOZON,10,CANTAMAYEC,49,1,1,21,6,0,0,1,3,157,27,0,0,0,0,0,0,0,0,215,0,0,215,225
3,31,YUCATAN,13,HUNUCMA,11,CELESTUN,50,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1404
3,31,YUCATAN,13,HUNUCMA,11,CELESTUN,51,4,4,572,44,2,229,40,34,1364,8,0,3,0,0,2,1,1,15,2315,0,84,2399,2820
3,31,YUCATAN,13,HUNUCMA,11,CELESTUN,52,2,2,246,19,2,59,18,7,427,0,1,1,0,0,2,0,2,2,786,0,22,808,921
3,31,YUCATAN,13,HUNUCMA,11,CELESTUN,53,2,2,252,25,5,111,32,8,590,2,1,3,0,0,5,1,3,7,1045,0,22,1067,1246
3,31,YUCATAN,16,IZAMAL,12,CENOTILLO,54,1,1,157,5,1,4,4,7,150,2,0,0,0,0,4,0,1,1,336,0,7,343,442
3,31,YUCATAN,16,IZAMAL,12,CENOTILLO,55,2,2,351,18,0,8,3,10,322,1,0,2,0,0,5,1,1,0,722,0,6,728,896
3,31,YUCATAN,16,IZAMAL,12,CENOTILLO,56,2,2,316,11,2,9,6,5,346,3,3,3,0,0,0,4,2,1,711,0,12,723,852
3,31,YUCATAN,16,IZAMAL,12,CENOTILLO,57,1,1,256,10,0,5,7,8,286,0,0,5,0,0,0,0,0,2,579,0,9,588,750
