CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_NAY,PAN_PRI,PAN_NAY,PRI_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
3,31,YUCATAN,12,UMAN,1,ABALA,1,B,1,0,B,0,171,107,3,14,9,18,183,11,0,0,1,0,2,1,0,0,520,0,12,532,596,ACTA DE CASILLA,,,
3,31,YUCATAN,12,UMAN,1,ABALA,1,C,1,0,C01,0,177,104,0,5,12,29,188,18,0,0,0,0,1,0,2,0,536,0,11,547,596,ACTA DE CASILLA,,,
3,31,YUCATAN,12,UMAN,1,ABALA,1,C,2,0,C02,0,176,100,1,10,18,11,193,11,0,1,1,0,5,0,2,0,529,0,13,542,595,ACTA DE CASILLA,,,
3,31,YUCATAN,12,UMAN,1,ABALA,2,B,1,0,B,0,46,33,2,0,2,7,68,0,0,0,0,0,0,0,0,1,159,0,3,162,174,ACTA DE CASILLA,,,
3,31,YUCATAN,12,UMAN,1,ABALA,3,B,1,0,B,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,0,,,
3,31,YUCATAN,12,UMAN,1,ABALA,4,B,1,0,B,0,110,96,7,7,16,10,248,1,0,0,0,0,4,0,0,0,499,0,14,513,550,ACTA DE CASILLA,,,
3,31,YUCATAN,12,UMAN,1,ABALA,4,E,1,0,E01,0,83,51,0,5,7,5,82,0,0,0,0,0,0,0,0,0,233,0,5,238,252,ACTA DE CASILLA,,,
3,31,YUCATAN,12,UMAN,1,ABALA,5,B,1,0,B,0,123,97,2,1,87,6,176,14,1,0,1,0,1,2,0,2,513,0,16,529,621,ACTA LEVANTADA EN CONSEJO,,,
3,31,YUCATAN,12,UMAN,1,ABALA,5,C,1,0,C01,0,138,86,1,1,105,5,165,12,0,0,0,0,0,0,0,3,516,0,5,521,621,ACTA DE CASILLA,,,
3,31,YUCATAN,12,UMAN,1,ABALA,5,C,2,0,C02,0,133,81,1,2,93,5,190,10,0,2,0,0,7,0,0,0,524,0,7,531,621,ACTA DE CASILLA,,,
3,31,YUCATAN,12,UMAN,1,ABALA,6,B,1,0,B,0,110,72,0,7,9,8,176,1,1,0,0,0,1,0,1,1,387,0,7,394,417,ACTA DE CASILLA,,,
3,31,YUCATAN,11,TECOH,2,ACANCEH,7,B,1,0,B,0,175,3,1,8,11,55,209,15,1,2,1,1,2,0,0,0,484,0,13,497,579,ACTA DE CASILLA,,,
3,31,YUCATAN,11,TECOH,2,ACANCEH,7,C,1,0,C01,0,156,0,2,12,12,48,176,14,8,0,0,0,6,0,0,0,434,0,12,446,579,ACTA DE CASILLA,,,
3,31,YUCATAN,11,TECOH,2,ACANCEH,7,C,2,0,C02,0,125,4,1,13,23,42,232,12,2,1,0,0,0,1,0,1,457,0,18,475,579,ACTA LEVANTADA EN CONSEJO,,,
3,31,YUCATAN,11,TECOH,2,ACANCEH,7,C,3,0,C03,0,118,6,2,10,22,52,215,20,1,1,1,0,3,0,2,0,453,0,10,463,579,ACTA LEVANTADA EN CONSEJO,,,
3,31,YUCATAN,11,TECOH,2,ACANCEH,8,B,1,0,B,0,187,4,6,18,19,49,278,29,2,3,1,0,1,0,0,1,598,0,18,616,734,ACTA DE CASILLA,,,
3,31,YUCATAN,11,TECOH,2,ACANCEH,8,C,1,0,C01,0,217,9,4,16,18,54,249,23,1,0,2,0,2,0,0,3,598,0,14,612,734,ACTA DE CASILLA,,,
3,31,YUCATAN,11,TECOH,2,ACANCEH,8,C,2,0,C02,0,182,4,2,14,38,70,259,15,0,0,0,0,5,0,0,0,589,0,16,605,734,ACTA DE CASILLA,,,
3,31,YUCATAN,11,TECOH,2,ACANCEH,9,B,1,0,B,0,180,5,2,10,19,62,277,20,0,1,1,0,4,0,2,0,583,0,0,583,728,ACTA DE CASILLA,,,
3,31,YUCATAN,11,TECOH,2,ACANCEH,9,C,1,0,C01,0,169,8,1,15,33,66,257,22,1,2,0,0,2,1,1,4,582,0,16,598,727,ACTA DE CASILLA,,,
3,31,YUCATAN,11,TECOH,2,ACANCEH,9,C,2,0,C02,0,183,3,0,16,21,75,261,20,0,0,0,0,2,1,3,1,586,0,16,602,727,ACTA DE CASILLA,,,
3,31,YUCATAN,11,TECOH,2,ACANCEH,9,C,3,0,C03,0,157,5,3,13,22,92,227,28,0,1,1,0,1,1,0,2,553,0,35,588,727,ACTA DE CASILLA,,,
3,31,YUCATAN,11,TECOH,2,ACANCEH,10,B,1,0,B,0,171,2,5,5,17,68,253,15,1,0,3,0,2,2,3,1,548,0,19,567,656,ACTA DE CASILLA,,,
3,31,YUCATAN,11,TECOH,2,ACANCEH,10,C,1,0,C01,0,171,11,0,15,18,57,248,15,0,2,0,0,5,0,0,0,542,0,13,555,656,ACTA DE CASILLA,,,
3,31,YUCATAN,11,TECOH,2,ACANCEH,10,C,2,0,C02,0,111,3,5,21,20,69,270,12,0,3,0,0,4,0,0,0,518,0,21,539,656,ACTA DE CASILLA,,,
3,31,YUCATAN,11,TECOH,2,ACANCEH,10,C,3,0,C03,0,143,10,3,12,20,47,243,28,0,3,1,1,1,2,1,3,518,0,25,543,656,ACTA DE CASILLA,,,
