ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,1,MERIDA,100,182,182,24757,3464,278,1972,1757,2761,24313,392,59694,37,1261,60992,94178,
31,YUCATAN,2,MERIDA,68,155,155,35525,3016,257,1642,1329,2766,17051,380,61966,33,961,62960,88777,
31,YUCATAN,3,MERIDA,46,141,141,37870,3285,237,1435,1203,2198,16073,329,62630,21,966,63617,86048,
31,YUCATAN,4,MERIDA,79,169,169,22679,3054,323,2422,2214,3009,27751,465,61917,23,1409,63349,96321,
31,YUCATAN,5,MERIDA,66,158,158,16213,2468,292,2323,2133,2652,27999,354,54434,10,1377,55821,92622,
31,YUCATAN,6,MERIDA,37,129,129,9301,1834,217,1709,1616,1616,21201,177,37671,13,1066,38750,81581,
31,YUCATAN,7,MERIDA,58,159,159,18645,2591,297,2106,2155,3319,28045,351,57509,27,1192,58728,94449,
31,YUCATAN,8,MERIDA,28,110,110,18048,1740,167,1316,1317,2478,19028,286,44380,27,1048,45455,72278,
31,YUCATAN,9,MERIDA,19,113,113,28748,2222,161,1384,1296,1960,16590,308,52669,16,864,53549,76609,
31,YUCATAN,10,KANASIN,25,103,103,12165,703,173,1606,1562,1615,18173,365,36362,13,1042,37417,68610,
31,YUCATAN,11,TECOH,44,119,119,16920,5838,403,2309,2175,2132,24424,1583,55784,59,1440,57283,74879,
31,YUCATAN,12,UMAN,45,133,133,14615,3214,279,1762,2894,4782,26646,1227,55419,22,1430,56871,80975,
31,YUCATAN,13,HUNUCMA,53,140,140,16160,2275,383,8124,4818,2549,27918,2496,64723,4,1468,66195,84360,
31,YUCATAN,14,PROGRESO,57,139,139,18773,4953,232,2061,3400,2543,23483,227,55672,8,1351,57031,84247,
31,YUCATAN,15,MOTUL,59,135,135,16286,3126,583,3056,2066,2819,22971,1079,51986,6,1318,53310,78283,
31,YUCATAN,16,IZAMAL,83,161,161,18536,8062,1021,1814,3695,1322,33458,1614,69522,10,1314,70846,85253,
31,YUCATAN,17,TIZIMIN,62,146,146,18843,3869,163,4236,1923,623,31667,260,61584,7,1474,63065,85902,
31,YUCATAN,18,TEMOZON,67,148,148,20808,4232,218,7046,1074,712,25597,3496,63183,1,965,64149,86086,
31,YUCATAN,19,VALLADOLID,52,136,136,12742,6824,227,2538,1897,693,30213,2647,57781,24,1144,58949,81501,
31,YUCATAN,20,TEKAX,59,141,141,14805,6921,226,4897,7610,1461,24024,2062,62006,8,1254,63268,86064,
31,YUCATAN,21,TICUL,53,147,147,19902,6578,260,2449,2214,828,32319,1073,65623,7,1442,67072,87049,
