ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_NAY,PAN_PRI,PAN_NAY,PRI_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
31,YUCATAN,1,ABALA,6,11,11,1267,827,17,52,358,104,1669,78,2,3,3,0,21,3,5,7,4416,0,93,4509,5248,
31,YUCATAN,2,ACANCEH,7,19,19,3055,109,43,250,372,1090,4877,409,20,34,16,3,58,10,28,21,10395,0,320,10715,12757,
31,YUCATAN,3,AKIL,5,15,15,975,1260,16,93,2844,52,1061,20,30,79,0,0,126,33,2,68,6659,0,138,6797,8704,
31,YUCATAN,4,BACA,5,9,9,812,225,8,499,50,557,1228,14,9,19,2,1,49,12,25,9,3519,2,83,3604,4854,
31,YUCATAN,5,BOKOBA,2,4,4,226,596,2,10,17,17,996,1,0,6,0,0,10,1,2,1,1885,0,20,1905,2042,
31,YUCATAN,6,BUCTZOTZ,6,13,13,2332,216,11,43,78,55,3247,4,9,23,1,0,36,12,7,15,6089,0,73,6162,7431,
31,YUCATAN,7,CACALCHEN,4,10,10,1090,1010,10,95,89,59,2453,18,2,6,0,0,31,4,5,11,4883,0,128,5011,6028,
31,YUCATAN,8,CALOTMUL,4,7,7,458,924,14,69,51,28,964,4,1,7,0,0,16,4,2,4,2546,0,63,2609,3613,
31,YUCATAN,9,CANSAHCAB,6,9,9,817,362,8,52,646,32,1172,24,3,6,1,0,19,9,6,15,3172,2,82,3256,3866,
31,YUCATAN,10,CANTAMAYEC,3,4,4,306,14,1,17,15,20,450,89,0,1,0,0,1,0,0,1,915,0,14,929,1973,
31,YUCATAN,11,CELESTUN,4,10,10,1443,80,9,487,131,50,3018,8,7,8,0,0,24,5,10,26,5306,0,121,5427,6391,
