CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PVEM,PT,MC,MORENA,NAY,PAN_PRI_NAY,PAN_PRI,PAN_NAY,PRI_NAY,PVEM_PT_MORENA,PVEM_PT,PVEM_MORENA,PT_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
3,31,YUCATAN,12,UMAN,1,ABALA,1,3,3,524,311,4,29,39,58,564,40,0,1,2,0,8,1,4,0,1585,0,36,1621,1787
3,31,YUCATAN,12,UMAN,1,ABALA,2,1,1,46,33,2,0,2,7,68,0,0,0,0,0,0,0,0,1,159,0,3,162,174
3,31,YUCATAN,12,UMAN,1,ABALA,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205
3,31,YUCATAN,12,UMAN,1,ABALA,4,2,2,193,147,7,12,23,15,330,1,0,0,0,0,4,0,0,0,732,0,19,751,802
3,31,YUCATAN,12,UMAN,1,ABALA,5,3,3,394,264,4,4,285,16,531,36,1,2,1,0,8,2,0,5,1553,0,28,1581,1863
3,31,YUCATAN,12,UMAN,1,ABALA,6,1,1,110,72,0,7,9,8,176,1,1,0,0,0,1,0,1,1,387,0,7,394,417
3,31,YUCATAN,11,TECOH,2,ACANCEH,7,4,4,574,13,6,43,68,197,832,61,12,4,2,1,11,1,2,1,1828,0,53,1881,2316
3,31,YUCATAN,11,TECOH,2,ACANCEH,8,3,3,586,17,12,48,75,173,786,67,3,3,3,0,8,0,0,4,1785,0,48,1833,2202
3,31,YUCATAN,11,TECOH,2,ACANCEH,9,4,4,689,21,6,54,95,295,1022,90,1,4,2,0,9,3,6,7,2304,0,67,2371,2909
3,31,YUCATAN,11,TECOH,2,ACANCEH,10,4,4,596,26,13,53,75,241,1014,70,1,8,4,1,12,4,4,4,2126,0,78,2204,2624
