3,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,TIPO_DE_ELECCION,NOMBRE_PARTICIPANTE,NUMERO_LISTA,CANDIDATO,SEXO_CANDIDATO,RUTA_CONSTANCIA,PARTIDO
3,31,YUCATAN,,,1,ABALA,PRES_MUN,PRI,1,MARIA LORENZA AYALA LOPEZ,2,,PRI
3,31,YUCATAN,,,1,ABALA,SIND_MR,PRI,2,AZAEL AYALA SOSA,1,,PRI
3,31,YUCATAN,,,1,ABALA,REG_MR,PRI,3,ROSA DALIA FUENTES MENA,2,,PRI
3,31,YUCATAN,,,1,ABALA,REG_MR,PRI,4,JORGE ISMAEL CANCHE PECH,1,,PRI
3,31,YUCATAN,,,1,ABALA,REG_MR,PRI,5,GLENDY ANAHI LOPEZ DOMINGUEZ,2,,PRI
3,31,YUCATAN,,,1,ABALA,REG_RP,PAN,6,ZUEMI ALEJANDRA EK LOPEZ,1,,PAN
3,31,YUCATAN,,,1,ABALA,REG_RP,MORENA,7,CLAUDIO COCOM PECH,1,,MORENA
3,31,YUCATAN,,,1,ABALA,REG_RP,PAN,8,JOSE ANDRES SUAREZ GOMEZ,2,,PAN
3,31,YUCATAN,,,2,ACANCEH,PRES_MUN,PAN_PRI,1,GUADALUPE ELIZABETH ZAPATA GONZALEZ,2,,PAN
3,31,YUCATAN,,,2,ACANCEH,SIND_MR,PAN_PRI,2,WALTHER JESUS TUN UC,1,,PAN
3,31,YUCATAN,,,2,ACANCEH,REG_MR,PAN_PRI,3,ROSA ARGELIA AKE Y AKE,2,,PAN
3,31,YUCATAN,,,2,ACANCEH,REG_MR,PAN_PRI,4,JOSE EFRAIN GARRIDO POOL,1,,PAN
3,31,YUCATAN,,,2,ACANCEH,REG_MR,PAN_PRI,5,MARIA ROSALINDA YAH TOLOZA,2,,PAN
3,31,YUCATAN,,,2,ACANCEH,REG_MR,PAN_PRI,6,VICTOR MUNIR CANDILA AGUILAR,1,,PAN
3,31,YUCATAN,,,2,ACANCEH,REG_MR,PAN_PRI,7,ANA KARINA SANTOS POOL,2,,PAN
3,31,YUCATAN,,,2,ACANCEH,REG_RP,MC,8,FELIPE DE JESUS CHI BRITO,1,,MC
3,31,YUCATAN,,,2,ACANCEH,REG_RP,NAY,9,MAGALI GUADALUPE ESTRELLA GOMEZ,2,,NAY
3,31,YUCATAN,,,2,ACANCEH,REG_RP,PVEM_MORENA,10,CARLOS JAVIER GUTIERREZ YAH,1,,PVEM
3,31,YUCATAN,,,2,ACANCEH,REG_RP,MC,11,MARIA DE LOURDES MILLAN MAY,2,,MC
3,31,YUCATAN,,,3,AKIL,PRES_MUN,PVEM_PT_MORENA,1,IGINIA ADALBERTA ZAPATA CHI,2,,PT
3,31,YUCATAN,,,3,AKIL,SIND_MR,PVEM_PT_MORENA,2,GEOVANY ALEXANDER NAVARRETE CAB,1,,PT
3,31,YUCATAN,,,3,AKIL,REG_MR,PVEM_PT_MORENA,3,LINA ROSIO GONGORA PAT,2,,PT
3,31,YUCATAN,,,3,AKIL,REG_MR,PVEM_PT_MORENA,4,JUAN JORGE NAVARRETE COCOM,1,,PT
3,31,YUCATAN,,,3,AKIL,REG_MR,PVEM_PT_MORENA,5,MAYRA ISABEL DOMINGUEZ BALAM,2,,PT
3,31,YUCATAN,,,3,AKIL,REG_MR,PVEM_PT_MORENA,6,LIZANDRO IRAN MONTALVO AVILA,1,,PT
3,31,YUCATAN,,,3,AKIL,REG_MR,PVEM_PT_MORENA,7,EFFI GABRIELA ZAPATA VELA,2,,PT
3,31,YUCATAN,,,3,AKIL,REG_RP,PAN_PRI_NAY,8,VIDAL XOOL KU,1,,PAN
3,31,YUCATAN,,,3,AKIL,REG_RP,PAN_PRI_NAY,9,NAYDY DANIELA CHAN NAVARRETE,2,,PAN
3,31,YUCATAN,,,3,AKIL,REG_RP,PAN_PRI_NAY,10,GUSTAVO ARIEL REYES REYES,1,,PAN
3,31,YUCATAN,,,3,AKIL,REG_RP,PAN_PRI_NAY,11,DANIELA YADUARY CEN MONTALVO,2,,PAN
3,31,YUCATAN,,,4,BACA,PRES_MUN,PVEM_PT_MORENA,1,FREDDY MIGUEL BASTO BASTO,1,,PVEM
3,31,YUCATAN,,,4,BACA,SIND_MR,PVEM_PT_MORENA,2,SHIRLEY ESTEPHANY CAUICH MUKUL,2,,PVEM
3,31,YUCATAN,,,4,BACA,REG_MR,PVEM_PT_MORENA,3,OSCAR RAFAEL SANCHEZ CEBALLOS,1,,PVEM
3,31,YUCATAN,,,4,BACA,REG_MR,PVEM_PT_MORENA,4,VERONICA GABRIELA UC CHAN,2,,PVEM
3,31,YUCATAN,,,4,BACA,REG_MR,PVEM_PT_MORENA,5,XAVIER EFREN  CANTO,1,,PVEM
3,31,YUCATAN,,,4,BACA,REG_RP,PAN_PRI_PRD_NAY,6,MARIBEL GUADALUPE MORENO SOSA,2,,PAN
3,31,YUCATAN,,,4,BACA,REG_RP,MC,7,MARIA GRACILIANA DE LOS ANGELES BASTO ARJONA,2,,MC
3,31,YUCATAN,,,4,BACA,REG_RP,PAN_PRI_PRD_NAY,8,MANUEL HILARIO DZUL MEX,1,,PAN
3,31,YUCATAN,,,5,BOKOBA,PRES_MUN,PT_MORENA,1,YANELY GABRIELA ORTEGA CANCHE,2,,MORENA
3,31,YUCATAN,,,5,BOKOBA,SIND_MR,PT_MORENA,2,LUIS RAMIRO CHAN PUC,1,,MORENA
3,31,YUCATAN,,,5,BOKOBA,REG_MR,PT_MORENA,3,NELDY MINERVA AKE KANTUN,2,,MORENA
3,31,YUCATAN,,,5,BOKOBA,REG_RP,PRI,4,SATURNINO EZEQUIEL KOH HUCHIN,1,,PRI
3,31,YUCATAN,,,5,BOKOBA,REG_RP,PRI,5,SHENDER JAQUELINE LOPEZ HUCHIM,2,,PRI
3,31,YUCATAN,,,6,BUCTZOTZ,PRES_MUN,PT_MORENA,1,CARLOS ESTEBAN ARGAEZ BE,1,,MORENA
3,31,YUCATAN,,,6,BUCTZOTZ,SIND_MR,PT_MORENA,2,PERLA MARINA HERRERA CONTRERAS,2,,MORENA
3,31,YUCATAN,,,6,BUCTZOTZ,REG_MR,PT_MORENA,3,FERNANDO RAUL LIZAMA GUEMEZ,1,,MORENA
3,31,YUCATAN,,,6,BUCTZOTZ,REG_MR,PT_MORENA,4,EDDY DEL ROSARIO BAEZA ARGAEZ,2,,MORENA
3,31,YUCATAN,,,6,BUCTZOTZ,REG_MR,PT_MORENA,5,VICENTE CAN CHAN,1,,MORENA
3,31,YUCATAN,,,6,BUCTZOTZ,REG_RP,PAN_PRI_NAY,6,LEIDY LOLINA RIVERO ESCALANTE,2,,PAN
3,31,YUCATAN,,,6,BUCTZOTZ,REG_RP,PAN_PRI_NAY,7,NOE JESUS CEPEDA HERRERA,1,,PAN
3,31,YUCATAN,,,6,BUCTZOTZ,REG_RP,PAN_PRI_NAY,8,JULIA MARIA MORALES LIZAMA,2,,PAN
3,31,YUCATAN,,,7,CACALCHEN,PRES_MUN,PRI_PRD_NAY,1,MANUEL DE JESUS OROZCO AKE,1,,PRI
3,31,YUCATAN,,,7,CACALCHEN,SIND_MR,PRI_PRD_NAY,2,SANDRA GUADALUPE SANTOS CHE,2,,PRI
3,31,YUCATAN,,,7,CACALCHEN,REG_MR,PRI_PRD_NAY,3,MANUEL JESUS MAY LOPEZ,1,,PRI
3,31,YUCATAN,,,7,CACALCHEN,REG_MR,PRI_PRD_NAY,4,MARIA LUISA ARCIQUE OJEDA,2,,PRI
3,31,YUCATAN,,,7,CACALCHEN,REG_MR,PRI_PRD_NAY,5,DAVID ALEJANDRO PEREZ ESPADAS,1,,PRI
3,31,YUCATAN,,,7,CACALCHEN,REG_RP,PAN,6,SANDRA ELENA MEZETA MEDRANO,2,,PAN
3,31,YUCATAN,,,7,CACALCHEN,REG_RP,PAN,7,HENRY ANIEL URTECHO LOEZA,1,,PAN
3,31,YUCATAN,,,7,CACALCHEN,REG_RP,PAN,8,ARMINDA NOEMI PECH LOPEZ,2,,PAN
3,31,YUCATAN,,,8,CALOTMUL,PRES_MUN,PRI,1,LUIS FERNELY POLANCO TUN,1,,PRI
3,31,YUCATAN,,,8,CALOTMUL,SIND_MR,PRI,2,MAIRA JULISSA CHIMAL PUC,2,,PRI
3,31,YUCATAN,,,8,CALOTMUL,REG_MR,PRI,3,RUFO ESTEBAN MENESES MAYEN,1,,PRI
3,31,YUCATAN,,,8,CALOTMUL,REG_RP,PAN,4,JOSUE DANIEL PADILLA RAJON,1,,PAN
3,31,YUCATAN,,,8,CALOTMUL,REG_RP,PRI,5,ERIKA VANESSA NARVAEZ RUIZ,2,,PRI
3,31,YUCATAN,,,9,CANSAHCAB,PRES_MUN,PT,1,WILVER ROGER LLANES CHAN,1,,PT
3,31,YUCATAN,,,9,CANSAHCAB,SIND_MR,PT,2,MARIA ANGELINA CASTILLO CHAN,2,,PT
3,31,YUCATAN,,,9,CANSAHCAB,REG_MR,PT,3,BELLON DZUL CETZ,1,,PT
3,31,YUCATAN,,,9,CANSAHCAB,REG_RP,PAN,4,EPIFANIO BATUN CHAN,1,,PAN
3,31,YUCATAN,,,9,CANSAHCAB,REG_RP,PRI,5,ISIDORA MAY ANDUEZA,2,,PRI
3,31,YUCATAN,,,10,CANTAMAYEC,PRES_MUN,PT_MORENA,1,ORLANDO EK SANSORES,1,,MORENA
3,31,YUCATAN,,,10,CANTAMAYEC,SIND_MR,PT_MORENA,2,ANDREA ANALEA CANCHE CAAMAL,2,,MORENA
3,31,YUCATAN,,,10,CANTAMAYEC,REG_MR,PT_MORENA,3,MARVI ORLANDO CHAN DOMINGUEZ,1,,MORENA
3,31,YUCATAN,,,10,CANTAMAYEC,REG_RP,PAN,4,JULIAN ELIAS TENREIRO MAY,1,,PAN
3,31,YUCATAN,,,10,CANTAMAYEC,REG_RP,NAY,5,MARIA LETICIA BERNADINA MONTEJO DZIB,2,,NAY
3,31,YUCATAN,,,11,CELESTUN,PRES_MUN,PT_MORENA,1,GERMAN JESUS CAUICH PINTO,1,,MORENA
3,31,YUCATAN,,,11,CELESTUN,SIND_MR,PT_MORENA,2,FABIOLA DINORAH PINTO SOLIS,2,,MORENA
3,31,YUCATAN,,,11,CELESTUN,REG_MR,PT_MORENA,3,ALFONSO MANUEL GARCIA ACOSTA,1,,MORENA
3,31,YUCATAN,,,11,CELESTUN,REG_MR,PT_MORENA,4,GUADALUPE CONCEPCION MEX CORAL,2,,MORENA
3,31,YUCATAN,,,11,CELESTUN,REG_MR,PT_MORENA,5,JOSE FORTUNATO AVILA OJEDA,1,,MORENA
3,31,YUCATAN,,,11,CELESTUN,REG_RP,PAN_PRI_PRD,6,MIGUEL ALBERTO GONZALEZ BORGES,1,,PAN
3,31,YUCATAN,,,11,CELESTUN,REG_RP,PVEM,7,MARIA ISABEL CHUC CHACON,2,,PVEM
3,31,YUCATAN,,,11,CELESTUN,REG_RP,PAN_PRI_PRD,8,DARCET GIRLANDY FLORES ZONDA,2,,PAN
3,31,YUCATAN,,,12,CENOTILLO,PRES_MUN,PAN,1,ANGEL HERMENEGILDO CARDOZ FERNANDEZ,1,,PAN
3,31,YUCATAN,,,12,CENOTILLO,SIND_MR,PAN,2,ALEJANDRA DEL ROSARIO BURGOS CONTRERAS,2,,PAN
3,31,YUCATAN,,,12,CENOTILLO,REG_MR,PAN,3,PEDRO DAMIAN FUENTES NOH,1,,PAN
3,31,YUCATAN,,,12,CENOTILLO,REG_RP,PT_MORENA,4,CARLOS ENRIQUE QUIÑONES CASTRO,1,,MORENA
3,31,YUCATAN,,,12,CENOTILLO,REG_RP,PT_MORENA,5,SEYDY GUADALUPE GUTIERREZ ARCEO,2,,MORENA
3,31,YUCATAN,,,13,CONKAL,PRES_MUN,PAN_NAY,1,LINDA MARGARITA PEREZ QUIJANO,2,,PAN
3,31,YUCATAN,,,13,CONKAL,SIND_MR,PAN_NAY,2,JOSE ENRIQUE PECH GONZALEZ,1,,PAN
3,31,YUCATAN,,,13,CONKAL,REG_MR,PAN_NAY,3,LAURA DIANELA LORIA ALCOCER,2,,PAN
3,31,YUCATAN,,,13,CONKAL,REG_MR,PAN_NAY,4,JESUS ALBERTO GONZALEZ PECH,1,,PAN
3,31,YUCATAN,,,13,CONKAL,REG_MR,PAN_NAY,5,ADDY ESTELA MATU SULU,2,,PAN
3,31,YUCATAN,,,13,CONKAL,REG_MR,PAN_NAY,6,LEONARDO MANUEL TRUJILLO COCON,1,,PAN
3,31,YUCATAN,,,13,CONKAL,REG_MR,PAN_NAY,7,ANA KARENINA COUTIÑO ALPUCHE,2,,PAN
3,31,YUCATAN,,,13,CONKAL,REG_RP,PRI,8,AARON ALEJANDRO QUIJANO KANTUN,1,,PRI
3,31,YUCATAN,,,13,CONKAL,REG_RP,PVEM_PT_MORENA,9,YESICA GUADALUPE CANTO ALVAREZ,2,,MORENA
3,31,YUCATAN,,,13,CONKAL,REG_RP,PRI,10,LANDY GRACIELA AGUILAR SAENZ,2,,PRI
3,31,YUCATAN,,,13,CONKAL,REG_RP,PRI,11,MARIO ALBERTO MUÑOZ POOL,1,,PRI
3,31,YUCATAN,,,14,CUNCUNUL,PRES_MUN,PAN_PRI_NAY,1,MARTA BEATRIZ POOT NAHUAT,2,,PAN
3,31,YUCATAN,,,14,CUNCUNUL,SIND_MR,PAN_PRI_NAY,2,JAIME ISMAEL TAMAYO CEN,1,,PAN
3,31,YUCATAN,,,14,CUNCUNUL,REG_MR,PAN_PRI_NAY,3,MARIA EUNICE CEN UN,2,,PAN
3,31,YUCATAN,,,14,CUNCUNUL,REG_RP,PVEM_PT_MORENA,4,ELOISA MARIA SALAZAR ONTIVEROS,2,,MORENA
3,31,YUCATAN,,,14,CUNCUNUL,REG_RP,PVEM_PT_MORENA,5,VICTOR SALAZAR SALAZAR,1,,MORENA
3,31,YUCATAN,,,15,CUZAMA,PRES_MUN,PAN,1,FELIPE MARIO CHIN PUC,1,,PAN
