CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,TIPO_CASILLA,ID_CASILLA,EXT_CONTIGUA,ACTA_CASILLA-MEC,URNA_ELECTRONICA,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_NAZ_PES,PT_NAZ,PT_PES,NAZ_PES,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,ESTATUS_ACTA,TRIBUNAL,OBSERVACIONES,RUTA_ACTA
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,0,A,15,0,VA15,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,ACTA LEVANTADA EN CONSEJO,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,1,B,1,0,B,0,139,0,4,1,6,0,154,4,0,4,0,0,0,0,0,0,0,0,0,0,16,328,0,8,336,537,ACTA DE CASILLA,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,2,B,1,0,B,0,137,0,1,3,13,0,144,0,1,1,0,0,0,0,0,0,0,0,0,0,13,313,0,13,326,590,ACTA DE CASILLA,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,3,B,1,0,B,0,142,0,3,3,6,0,131,0,1,4,0,0,0,0,0,0,0,0,0,0,15,305,0,9,314,530,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,3,C,1,0,C01,0,120,0,4,5,12,0,129,0,0,3,0,0,0,0,0,0,0,0,0,0,11,284,0,12,296,530,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,4,B,1,0,B,0,121,0,3,2,10,0,135,0,1,0,0,0,0,0,0,0,0,0,0,0,9,281,0,8,289,487,ACTA DE CASILLA,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,5,B,1,0,B,0,84,0,1,1,1,0,73,2,1,1,0,0,0,0,0,0,0,0,0,0,5,169,0,5,174,331,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,6,B,1,0,B,0,120,0,0,2,4,0,70,0,1,1,0,0,0,0,0,0,0,0,0,0,2,200,0,5,205,392,ACTA DE CASILLA,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,6,C,1,0,C01,0,95,0,2,2,3,0,90,3,0,5,0,0,0,0,0,0,0,0,0,0,7,207,0,7,214,392,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,7,B,1,0,B,0,62,0,3,4,2,0,53,1,1,1,0,0,0,0,0,0,0,0,0,0,4,131,0,7,138,356,GRUPO DE RECUENTO,,,
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,8,B,1,0,B,0,204,0,3,6,6,0,165,3,2,6,0,0,0,0,0,0,0,0,0,0,14,409,0,15,424,673,GRUPO DE RECUENTO,,,
