ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_NAZ_PES,PT_NAZ,PT_PES,NAZ_PES,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,1,APOZOL,11,13,14,1535,0,40,43,76,0,1464,16,9,39,0,0,0,0,0,0,0,0,0,0,111,3333,0,129,3462,6059,
32,ZACATECAS,2,APULCO,8,10,10,0,75,0,0,72,889,0,16,0,0,0,487,0,0,0,0,0,0,0,0,0,1539,1,179,1719,4204,
32,ZACATECAS,3,ATOLINGA,6,7,7,431,67,28,16,163,0,498,4,12,0,0,0,60,15,4,1,1,0,0,3,85,1388,0,77,1465,2539,
32,ZACATECAS,4,BENITO JUAREZ,9,9,9,1006,11,0,7,509,0,463,7,240,0,0,0,0,0,0,0,0,0,0,0,200,2443,2,64,2509,3827,
32,ZACATECAS,5,CALERA,23,57,57,5569,967,300,4401,444,448,2362,872,812,542,193,0,0,0,0,0,862,90,79,67,296,18304,12,703,19019,32376,
32,ZACATECAS,6,CAÑITAS DE FELIPE PESCADOR,10,13,13,5,273,1285,531,709,41,294,934,249,1,29,0,0,0,0,0,0,0,0,0,69,4420,0,129,4549,6296,
32,ZACATECAS,7,CONCEPCION DEL ORO,22,27,27,32,2544,0,515,297,0,362,2815,0,47,31,0,0,0,0,0,0,0,0,0,0,6643,2,192,6837,9795,
32,ZACATECAS,8,CUAUHTEMOC,11,19,19,30,49,2489,40,2501,0,407,153,16,0,9,0,0,0,0,0,2,7,0,3,502,6208,0,276,6484,9562,
32,ZACATECAS,9,CHALCHIHUITES,21,25,25,83,2731,21,0,90,44,1826,101,0,0,9,22,238,34,4,8,0,0,0,0,205,5416,1,129,5546,8553,
32,ZACATECAS,10,FRESNILLO,209,334,337,12761,26880,2948,2755,3213,5059,28106,731,585,1034,681,138,4768,820,158,101,36,18,10,23,1673,92498,75,3656,96229,174748,
32,ZACATECAS,11,TRINIDAD GARCIA DE LA CADENA,6,6,6,224,308,23,0,229,0,336,0,0,482,0,0,74,27,4,2,0,0,0,0,89,1798,2,48,1848,3154,
32,ZACATECAS,12,GENARO CODINA,16,18,19,33,213,0,914,123,601,797,927,0,239,185,0,0,0,0,0,0,0,0,0,51,4083,2,145,4230,6382,
32,ZACATECAS,13,GENERAL ENRIQUE ESTRADA,7,11,11,357,219,42,12,861,1239,212,105,13,6,6,0,143,18,4,3,20,5,0,1,351,3617,0,117,3734,5183,
32,ZACATECAS,14,GENERAL FRANCISCO R. MURGUIA,42,48,48,149,4779,80,271,1192,98,3563,63,20,0,18,0,434,44,1,35,28,3,3,1,0,10782,0,361,11143,18546,
32,ZACATECAS,15,EL PLATEADO DE JOAQUIN AMARO,5,6,6,20,91,18,6,427,0,387,6,125,0,0,0,15,2,0,0,0,0,0,0,0,1097,0,25,1122,1848,
32,ZACATECAS,16,GENERAL PANFILO NATERA,24,37,37,154,564,93,2997,1353,92,3306,719,291,0,25,0,124,18,6,15,499,137,27,23,0,10443,0,504,10947,18315,
32,ZACATECAS,17,GUADALUPE,121,260,262,10421,15806,1563,2357,3342,9766,28644,1842,559,1164,2309,1231,2813,394,65,56,121,26,10,34,1968,84491,82,3492,88065,148391,
32,ZACATECAS,18,HUANUSCO,12,13,14,523,483,32,40,47,0,927,10,0,0,35,0,87,16,3,0,0,0,0,0,42,2245,2,90,2337,4359,
32,ZACATECAS,19,JALPA,34,49,49,2812,1134,249,1382,292,833,3273,99,83,71,100,0,467,64,36,10,72,9,13,8,271,11278,1,399,11678,22920,
32,ZACATECAS,20,JEREZ,89,119,120,7752,2731,10584,176,403,586,4371,51,54,1372,626,0,0,0,0,0,1,4,0,0,248,28959,20,1367,30346,57513,
32,ZACATECAS,21,JIMENEZ DEL TEUL,10,11,11,23,600,78,810,74,0,526,0,0,0,0,0,53,4,2,1,0,0,0,0,62,2233,3,72,2308,3347,
32,ZACATECAS,22,JUAN ALDAMA,23,33,33,0,3477,0,907,563,237,3518,217,85,0,107,0,0,0,0,0,0,0,0,0,432,9543,1,271,9815,17140,
32,ZACATECAS,23,JUCHIPILA,19,29,30,1789,460,78,3171,48,118,552,18,9,95,13,0,147,23,5,3,0,0,0,0,15,6544,0,260,6804,12391,
32,ZACATECAS,24,LORETO,31,65,65,709,2478,296,245,2095,4964,4986,76,38,49,3036,83,491,57,12,13,0,0,0,0,0,19628,1,868,20497,36085,
32,ZACATECAS,25,LUIS MOYA,12,19,19,792,0,14,786,1051,808,799,20,4,1694,9,0,0,0,0,0,0,0,0,0,219,6196,1,195,6392,9816,
32,ZACATECAS,26,MAZAPIL,48,51,51,30,231,24,0,2451,45,1892,5598,0,0,0,0,12,1,1,0,0,0,0,0,0,10285,0,405,10690,14645,
32,ZACATECAS,27,MELCHOR OCAMPO,6,7,7,5,30,3,0,16,535,47,988,0,0,2,0,0,0,0,0,0,0,0,0,0,1626,0,113,1739,2345,
32,ZACATECAS,28,MEZQUITAL DEL ORO,6,7,7,6,0,516,1,496,0,801,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1826,0,49,1875,2598,
32,ZACATECAS,29,MIGUEL AUZA,22,34,34,180,287,33,951,208,3077,2992,425,90,669,24,0,11,4,0,3,72,16,9,18,307,9376,10,282,9668,18376,
32,ZACATECAS,30,MOMAX,6,7,8,652,10,0,0,305,0,560,8,0,5,0,0,0,0,0,0,0,0,0,0,0,1540,0,41,1581,2620,
32,ZACATECAS,31,MONTE ESCOBEDO,18,20,20,392,1645,94,0,131,289,1252,17,0,0,0,0,280,44,6,8,0,0,0,0,128,4286,1,140,4427,7952,
32,ZACATECAS,32,MORELOS,9,18,19,172,508,388,303,79,1308,1507,1223,9,1454,12,68,0,0,0,0,0,0,0,0,44,7075,3,193,7271,10104,
32,ZACATECAS,33,MOYAHUA DE ESTRADA,9,10,10,194,474,69,0,85,482,717,5,0,253,32,0,30,6,5,2,0,0,0,0,79,2433,0,71,2504,4942,
32,ZACATECAS,34,NOCHISTLAN DE MEJIA,39,57,57,1462,306,0,293,601,4674,4712,101,46,305,340,0,0,0,0,0,0,0,0,0,533,13373,3,750,14126,26798,
32,ZACATECAS,35,NORIA DE ANGELES,16,24,24,0,2707,31,122,119,88,3617,26,24,249,707,60,0,0,0,0,12,1,0,0,0,7763,3,304,8070,12255,
32,ZACATECAS,36,OJOCALIENTE,42,64,64,214,2936,6328,0,492,238,5269,145,0,129,1771,72,0,0,0,0,0,0,0,0,0,17594,10,658,18262,32065,
32,ZACATECAS,37,PANUCO,14,27,27,0,3902,0,125,171,1631,1316,907,11,75,53,0,0,0,0,0,0,0,0,0,90,8281,1,363,8645,13123,
32,ZACATECAS,38,PINOS,95,121,121,0,13315,0,797,759,17,15973,272,181,357,0,2,0,0,0,0,5,4,0,0,0,31682,10,1913,33605,52639,
