ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,1,APOZOL,11,13,14,1535,0,40,43,131,0,1520,16,9,39,0,0,3333,0,129,3462,6059,
32,ZACATECAS,2,APULCO,8,10,10,0,75,0,0,72,889,0,16,0,0,0,487,1539,1,179,1719,4204,
32,ZACATECAS,3,ATOLINGA,6,7,7,461,95,50,17,205,0,541,5,14,0,0,0,1388,0,77,1465,2539,
32,ZACATECAS,4,BENITO JUAREZ,9,9,9,1006,11,0,7,609,0,563,7,240,0,0,0,2443,2,64,2509,3827,
32,ZACATECAS,5,CALERA,23,57,57,5569,967,300,4774,592,448,2510,1238,1171,542,193,0,18304,12,703,19019,32376,
32,ZACATECAS,6,CAÑITAS DE FELIPE PESCADOR,10,13,13,5,273,1285,531,744,41,328,934,249,1,29,0,4420,0,129,4549,6296,
32,ZACATECAS,7,CONCEPCION DEL ORO,22,27,27,32,2544,0,515,297,0,362,2815,0,47,31,0,6643,2,192,6837,9795,
32,ZACATECAS,8,CUAUHTEMOC,11,19,19,30,49,2489,44,2752,0,658,160,17,0,9,0,6208,0,276,6484,9562,
32,ZACATECAS,9,CHALCHIHUITES,21,25,25,181,2832,106,0,192,44,1929,101,0,0,9,22,5416,1,129,5546,8553,
32,ZACATECAS,10,FRESNILLO,209,334,337,14839,28931,4666,2781,4049,5059,28943,764,613,1034,681,138,92498,75,3656,96229,174748,
32,ZACATECAS,11,TRINIDAD GARCIA DE LA CADENA,6,6,6,264,348,50,0,273,0,381,0,0,482,0,0,1798,2,48,1848,3154,
32,ZACATECAS,12,GENARO CODINA,16,18,19,33,213,0,914,148,601,823,927,0,239,185,0,4083,2,145,4230,6382,
32,ZACATECAS,13,GENERAL ENRIQUE ESTRADA,7,11,11,416,278,92,20,1037,1239,387,116,20,6,6,0,3617,0,117,3734,5183,
32,ZACATECAS,14,GENERAL FRANCISCO R. MURGUIA,42,48,48,317,4964,241,285,1192,98,3563,74,30,0,18,0,10782,0,361,11143,18546,
32,ZACATECAS,15,EL PLATEADO DE JOAQUIN AMARO,5,6,6,26,97,23,6,427,0,387,6,125,0,0,0,1097,0,25,1122,1848,
32,ZACATECAS,16,GENERAL PANFILO NATERA,24,37,37,207,623,144,3247,1353,92,3306,965,481,0,25,0,10443,0,504,10947,18315,
32,ZACATECAS,17,GUADALUPE,121,260,262,11589,16969,2560,2416,4326,9766,29628,1912,621,1164,2309,1231,84491,82,3492,88065,148391,
32,ZACATECAS,18,HUANUSCO,12,13,14,562,520,62,40,68,0,948,10,0,0,35,0,2245,2,90,2337,4359,
32,ZACATECAS,19,JALPA,34,49,49,3018,1327,427,1418,427,833,3409,131,117,71,100,0,11278,1,399,11678,22920,
32,ZACATECAS,20,JEREZ,89,119,120,7752,2731,10584,179,527,586,4495,53,54,1372,626,0,28959,20,1367,30346,57513,
32,ZACATECAS,21,JIMENEZ DEL TEUL,10,11,11,43,621,97,810,105,0,557,0,0,0,0,0,2233,3,72,2308,3347,
32,ZACATECAS,22,JUAN ALDAMA,23,33,33,0,3477,0,907,779,237,3734,217,85,0,107,0,9543,1,271,9815,17140,
32,ZACATECAS,23,JUCHIPILA,19,29,30,1853,522,130,3171,55,118,560,18,9,95,13,0,6544,0,260,6804,12391,
32,ZACATECAS,24,LORETO,31,65,65,907,2678,471,245,2095,4964,4986,76,38,49,3036,83,19628,1,868,20497,36085,
32,ZACATECAS,25,LUIS MOYA,12,19,19,792,0,14,786,1161,808,908,20,4,1694,9,0,6196,1,195,6392,9816,
32,ZACATECAS,26,MAZAPIL,48,51,51,35,236,28,0,2451,45,1892,5598,0,0,0,0,10285,0,405,10690,14645,
32,ZACATECAS,27,MELCHOR OCAMPO,6,7,7,5,30,3,0,16,535,47,988,0,0,2,0,1626,0,113,1739,2345,
32,ZACATECAS,28,MEZQUITAL DEL ORO,6,7,7,6,0,516,1,496,0,801,6,0,0,0,0,1826,0,49,1875,2598,
32,ZACATECAS,29,MIGUEL AUZA,22,34,34,186,295,37,988,361,3077,3146,466,127,669,24,0,9376,10,282,9668,18376,
32,ZACATECAS,30,MOMAX,6,7,8,652,10,0,0,305,0,560,8,0,5,0,0,1540,0,41,1581,2620,
32,ZACATECAS,31,MONTE ESCOBEDO,18,20,20,510,1765,194,0,195,289,1316,17,0,0,0,0,4286,1,140,4427,7952,
32,ZACATECAS,32,MORELOS,9,18,19,172,508,388,303,101,1308,1529,1223,9,1454,12,68,7075,3,193,7271,10104,
32,ZACATECAS,33,MOYAHUA DE ESTRADA,9,10,10,210,488,82,0,124,482,757,5,0,253,32,0,2433,0,71,2504,4942,
32,ZACATECAS,34,NOCHISTLAN DE MEJIA,39,57,57,1462,306,0,293,867,4674,4979,101,46,305,340,0,13373,3,750,14126,26798,
32,ZACATECAS,35,NORIA DE ANGELES,16,24,24,0,2707,31,127,119,88,3617,30,28,249,707,60,7763,3,304,8070,12255,
32,ZACATECAS,36,OJOCALIENTE,42,64,64,214,2936,6328,0,492,238,5269,145,0,129,1771,72,17594,10,658,18262,32065,
32,ZACATECAS,37,PANUCO,14,27,27,0,3902,0,125,216,1631,1361,907,11,75,53,0,8281,1,363,8645,13123,
32,ZACATECAS,38,PINOS,95,121,121,0,13315,0,801,759,17,15973,276,182,357,0,2,31682,10,1913,33605,52639,
32,ZACATECAS,39,RIO GRANDE,64,105,106,652,8434,3785,5377,328,524,8212,390,42,0,304,64,28112,2,1604,29718,53323,
