CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,SECCION,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_NAZ_PES,PT_NAZ,PT_PES,NAZ_PES,PVEM_MORENA,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,1,1,1,139,0,4,1,6,0,154,4,0,4,0,0,0,0,0,0,0,0,0,0,16,328,0,8,336,537
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,2,1,1,137,0,1,3,13,0,144,0,1,1,0,0,0,0,0,0,0,0,0,0,13,313,0,13,326,590
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,3,2,2,262,0,7,8,18,0,260,0,1,7,0,0,0,0,0,0,0,0,0,0,26,589,0,21,610,1060
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,4,1,1,121,0,3,2,10,0,135,0,1,0,0,0,0,0,0,0,0,0,0,0,9,281,0,8,289,487
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,5,1,1,84,0,1,1,1,0,73,2,1,1,0,0,0,0,0,0,0,0,0,0,5,169,0,5,174,331
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,6,2,2,215,0,2,4,7,0,160,3,1,6,0,0,0,0,0,0,0,0,0,0,9,407,0,12,419,784
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,7,1,1,62,0,3,4,2,0,53,1,1,1,0,0,0,0,0,0,0,0,0,0,4,131,0,7,138,356
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,8,1,1,204,0,3,6,6,0,165,3,2,6,0,0,0,0,0,0,0,0,0,0,14,409,0,15,424,673
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,9,1,1,61,0,13,2,2,0,42,0,0,1,0,0,0,0,0,0,0,0,0,0,3,124,0,5,129,245
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,10,1,1,127,0,0,6,3,0,98,1,0,1,0,0,0,0,0,0,0,0,0,0,5,241,0,14,255,360
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,1,APOZOL,13,1,1,122,0,3,6,8,0,179,2,1,11,0,0,0,0,0,0,0,0,0,0,7,339,0,21,360,634
2,32,ZACATECAS,15,JALPA,2,APULCO,14,1,1,0,17,0,0,15,324,0,3,0,0,0,49,0,0,0,0,0,0,0,0,0,408,1,43,452,711
2,32,ZACATECAS,15,JALPA,2,APULCO,15,2,2,0,8,0,0,11,379,0,2,0,0,0,31,0,0,0,0,0,0,0,0,0,431,0,31,462,820
2,32,ZACATECAS,15,JALPA,2,APULCO,16,1,1,0,6,0,0,7,26,0,3,0,0,0,12,0,0,0,0,0,0,0,0,0,54,0,6,60,157
2,32,ZACATECAS,15,JALPA,2,APULCO,17,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,1092
2,32,ZACATECAS,15,JALPA,2,APULCO,18,1,1,0,11,0,0,15,30,0,0,0,0,0,251,0,0,0,0,0,0,0,0,0,307,0,27,334,606
2,32,ZACATECAS,15,JALPA,2,APULCO,19,1,1,0,12,0,0,5,53,0,2,0,0,0,32,0,0,0,0,0,0,0,0,0,104,0,20,124,289
2,32,ZACATECAS,15,JALPA,2,APULCO,20,1,1,0,20,0,0,16,47,0,4,0,0,0,94,0,0,0,0,0,0,0,0,0,181,0,20,201,386
2,32,ZACATECAS,15,JALPA,2,APULCO,21,1,1,0,1,0,0,3,30,0,2,0,0,0,18,0,0,0,0,0,0,0,0,0,54,0,15,69,143
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,3,ATOLINGA,22,2,2,159,29,13,3,47,0,196,2,1,0,0,0,24,3,0,1,0,0,0,1,30,509,0,25,534,881
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,3,ATOLINGA,23,1,1,73,7,3,1,24,0,65,0,0,0,0,0,11,5,1,0,0,0,0,0,17,207,0,5,212,404
