ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,1,ZACATECAS,45,101,102,5386,3371,747,955,3846,4940,9499,545,358,2541,846,840,0,33874,55,1690,35619,58632,
32,ZACATECAS,2,ZACATECAS,85,130,131,7498,4635,898,4146,3272,4403,10625,2294,652,1845,752,1002,0,42022,46,2135,44203,66884,
32,ZACATECAS,3,GUADALUPE,57,120,121,8451,6887,1189,1700,1953,3900,11863,1207,540,969,1391,616,0,40666,45,1891,42602,67727,
32,ZACATECAS,4,GUADALUPE,61,117,118,2995,5874,1310,5511,1376,3326,12205,1413,631,744,1014,629,0,37028,36,1755,38819,64053,
32,ZACATECAS,5,GUADALUPE,77,132,134,2178,3083,5036,2224,4852,2901,14395,1218,340,494,438,569,0,37728,28,1935,39691,68058,
32,ZACATECAS,6,FRESNILLO,77,128,129,7466,10944,1698,2658,1048,3291,9282,1149,866,535,507,237,0,39681,41,1504,41226,71155,
32,ZACATECAS,7,FRESNILLO,91,142,143,1833,8956,1557,1775,2735,1448,10637,784,181,628,177,71,5747,36529,64,2047,38640,71845,
32,ZACATECAS,8,FRESNILLO,134,177,179,3786,8251,4841,2080,1911,3590,14482,1402,192,305,969,65,0,41874,23,2230,44127,77912,
32,ZACATECAS,9,CALERA,53,113,114,5934,3179,730,6221,3508,2140,9637,2667,1315,1411,276,138,0,37156,69,1483,38708,60786,
32,ZACATECAS,10,JEREZ,144,180,181,4604,10213,5252,1199,2171,2044,11309,719,169,2215,684,93,0,40672,18,2601,43291,80582,
32,ZACATECAS,11,OJOCALIENTE,90,140,140,2334,3619,4000,4412,3276,2140,9855,2653,2095,1842,2495,208,0,38929,26,2535,41490,70683,
32,ZACATECAS,12,VILLA DE COS,169,203,204,1975,14562,926,3491,2911,1137,8059,11246,660,133,353,127,0,45580,23,2058,47661,73368,
32,ZACATECAS,13,LORETO,62,114,114,1074,5763,490,1374,3034,5903,11871,754,232,1016,4180,372,0,36063,8,1782,37853,61340,
32,ZACATECAS,14,PINOS,119,152,152,419,16989,225,2376,815,899,17542,851,117,597,123,165,0,41118,9,2577,43704,66820,
32,ZACATECAS,15,JALPA,119,165,166,7281,2932,894,7464,2079,3320,12450,316,502,663,320,195,0,38416,17,2165,40598,74286,
32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,144,185,189,7841,3571,968,8275,3814,1865,12467,1124,697,1191,450,70,0,42333,10,2307,44650,75023,
32,ZACATECAS,17,RIO GRANDE,97,151,152,2331,8722,2762,10601,2117,568,11845,1658,1006,464,216,62,0,42352,16,2057,44425,76759,
32,ZACATECAS,18,SOMBRERETE,142,184,184,4401,11675,557,1782,1895,3248,16643,747,121,601,309,695,0,42674,31,2590,45295,80064,
