ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,1,ZACATECAS,45,101,104,5435,3402,748,963,3865,4985,9594,547,359,2557,852,849,0,34156,56,1724,35936,58632,
32,ZACATECAS,2,ZACATECAS,85,130,133,7610,4726,927,4204,3323,4554,10838,2313,657,1863,778,1021,0,42814,51,2197,45062,66884,
32,ZACATECAS,3,GUADALUPE,57,120,125,8506,6933,1194,1720,1970,3928,11992,1224,548,978,1405,621,0,41019,45,1913,42977,67727,
32,ZACATECAS,4,GUADALUPE,61,117,119,3005,5880,1310,5519,1377,3333,12232,1419,633,745,1018,630,0,37101,36,1766,38903,64053,
32,ZACATECAS,5,GUADALUPE,77,132,134,2178,3082,5037,2225,4852,2901,14395,1218,339,494,438,569,0,37728,28,1935,39691,68058,
32,ZACATECAS,6,FRESNILLO,77,128,131,7588,11101,1724,2706,1065,3380,9472,1178,879,551,521,239,0,40404,44,1541,41989,71155,
32,ZACATECAS,7,FRESNILLO,91,142,145,1872,9016,1563,1787,2758,1481,10747,810,182,633,178,71,5747,36845,64,2097,39006,71845,
32,ZACATECAS,8,FRESNILLO,134,177,181,3821,8320,4863,2105,1926,3639,14608,1418,196,307,983,66,0,42252,23,2270,44545,77912,
32,ZACATECAS,9,CALERA,53,113,115,5971,3195,730,6252,3526,2160,9724,2675,1324,1417,281,140,0,37395,69,1492,38956,60786,
32,ZACATECAS,10,JEREZ,144,180,185,4640,10264,5302,1212,2184,2081,11391,734,172,2234,695,94,0,41003,18,2634,43655,80582,
32,ZACATECAS,11,OJOCALIENTE,90,140,142,2362,3642,4017,4425,3290,2165,9901,2669,2107,1848,2508,210,0,39144,26,2549,41719,70683,
32,ZACATECAS,12,VILLA DE COS,169,203,206,2007,14599,930,3510,2927,1164,8175,11266,662,134,370,129,0,45873,23,2082,47978,73368,
32,ZACATECAS,13,LORETO,62,114,115,1091,5778,495,1385,3044,5929,11918,761,235,1029,4199,379,0,36243,8,1791,38042,61340,
32,ZACATECAS,14,PINOS,119,152,154,420,17019,226,2391,817,909,17569,855,118,600,125,167,0,41216,9,2583,43808,66820,
32,ZACATECAS,15,JALPA,119,165,168,7330,2958,892,7493,2084,3340,12524,320,506,671,324,197,0,38639,17,2178,40834,74286,
32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,144,185,191,7884,3604,969,8316,3824,1897,12542,1134,699,1206,455,72,0,42602,10,2328,44940,75023,
32,ZACATECAS,17,RIO GRANDE,97,151,154,2330,8723,2762,10602,2117,568,11845,1658,1005,464,216,62,0,42352,16,2057,44425,76759,
32,ZACATECAS,18,SOMBRERETE,142,184,185,4493,11763,566,1797,1910,3280,16789,757,124,604,313,705,0,43101,33,2622,45756,80064,
