ID_ESTADO,NOMBRE_ESTADO,ID_MUNICIPIO,MUNICIPIO,SECCIONES,CASILLAS,ACTAS_CASILLA-MEC,PAN,PRI,PRD,PT,PVEM,MC,MORENA,NAZ,PES,FMZ,RPZ,MAZ,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,PT_NAZ_PES,PT_NAZ,PT_PES,NAZ_PES,PVEM_MORENA,CAND_IND1,NUM_VOTOS_VALIDOS,NUM_VOTOS_CAN_NREG,NUM_VOTOS_NULOS,TOTAL_VOTOS,LISTA_NOMINAL,RUTA_ACTA
32,ZACATECAS,1,APOZOL,11,13,14,1064,89,35,110,123,74,1480,19,7,248,4,3,11,7,1,1,0,0,0,0,49,0,3325,0,135,3460,6059,
32,ZACATECAS,2,APULCO,8,10,10,59,145,60,118,143,153,1139,19,23,21,7,123,8,2,3,1,0,0,0,0,64,0,2088,0,218,2306,4204,
32,ZACATECAS,3,ATOLINGA,6,7,7,305,62,14,213,216,39,338,17,19,7,6,3,28,12,2,0,0,0,0,0,53,0,1334,0,124,1458,2539,
32,ZACATECAS,4,BENITO JUAREZ,9,9,9,855,65,8,191,459,58,483,13,96,10,3,1,7,10,1,1,0,0,0,0,109,0,2370,0,129,2499,3827,
32,ZACATECAS,5,CALERA,23,57,58,4353,750,256,3301,1107,614,4318,840,599,369,165,78,311,73,30,4,545,63,60,57,674,0,18567,6,714,19287,32376,
32,ZACATECAS,6,CAÑITAS DE FELIPE PESCADOR,10,13,13,89,296,770,636,653,59,853,554,238,30,22,2,24,1,3,4,29,10,5,6,75,0,4359,0,187,4546,6296,
32,ZACATECAS,7,CONCEPCION DEL ORO,22,27,28,161,2238,57,309,224,89,811,2253,21,22,61,9,70,21,2,1,27,16,1,12,0,0,6405,0,281,6686,9795,
32,ZACATECAS,8,CUAUHTEMOC,11,19,19,130,245,1336,109,2593,174,1093,163,14,19,29,42,28,4,8,10,1,0,1,0,123,0,6122,0,330,6452,9562,
32,ZACATECAS,9,CHALCHIHUITES,21,25,25,243,2561,31,100,117,141,1840,63,6,20,25,31,0,0,0,0,0,0,0,0,43,0,5221,4,319,5544,8553,
32,ZACATECAS,10,FRESNILLO,209,334,342,10444,21096,2567,6091,3011,7603,25397,2739,1192,1374,1066,347,3430,563,122,93,0,0,0,0,993,5190,93318,93,4598,98009,174748,
32,ZACATECAS,11,TRINIDAD GARCIA DE LA CADENA,6,6,6,228,284,8,233,224,46,401,17,6,208,7,1,26,14,2,0,0,0,0,0,45,0,1750,1,96,1847,3154,
32,ZACATECAS,12,GENARO CODINA,16,18,19,168,281,57,631,305,455,1303,465,25,131,105,34,15,4,2,0,13,6,1,3,42,0,4046,1,178,4225,6382,
32,ZACATECAS,13,GENERAL ENRIQUE ESTRADA,7,11,11,479,278,37,181,748,558,542,231,68,17,11,2,108,11,2,1,33,11,3,8,251,0,3580,0,141,3721,5183,
32,ZACATECAS,14,GENERAL FRANCISCO R. MURGUIA,42,48,48,172,4419,94,445,892,143,3194,785,53,13,65,23,287,34,0,12,29,12,1,14,0,0,10687,17,487,11191,18546,
32,ZACATECAS,15,EL PLATEADO DE JOAQUIN AMARO,5,6,6,67,132,30,98,231,15,368,17,70,5,0,1,16,2,0,0,0,0,0,0,11,0,1063,1,55,1119,1848,
32,ZACATECAS,16,GENERAL PANFILO NATERA,24,37,37,255,641,153,2877,880,298,2555,453,1432,61,248,58,90,12,2,2,0,0,0,0,0,0,10017,3,913,10933,18315,
32,ZACATECAS,17,GUADALUPE,121,260,266,11524,12957,1351,5421,3447,8880,26887,2689,1131,1851,2610,1533,2030,271,58,36,313,77,44,65,1241,0,84416,90,4163,88669,148391,
32,ZACATECAS,18,HUANUSCO,12,13,14,473,427,24,275,47,28,764,15,8,48,8,4,54,12,3,1,0,0,0,0,50,0,2241,0,89,2330,4359,
32,ZACATECAS,19,JALPA,34,49,50,2210,1045,218,2971,282,389,3195,59,205,167,84,12,236,49,12,4,0,0,0,0,184,0,11322,3,532,11857,22920,
32,ZACATECAS,20,JEREZ,89,119,123,3967,7114,3770,849,1145,1481,6732,569,111,2000,625,78,0,0,0,0,0,0,0,0,362,0,28803,17,1625,30445,57513,
32,ZACATECAS,21,JIMENEZ DEL TEUL,10,11,11,78,687,54,466,79,50,675,7,1,17,2,26,0,0,0,0,0,0,0,0,14,0,2156,2,149,2307,3347,
32,ZACATECAS,22,JUAN ALDAMA,23,33,34,718,2758,136,1536,426,239,2731,213,159,51,53,10,157,31,7,3,40,11,8,7,181,0,9475,8,389,9872,17140,
32,ZACATECAS,23,JUCHIPILA,19,29,31,1722,497,81,1093,165,399,1842,36,34,420,14,14,84,22,3,2,0,0,0,0,48,0,6476,1,360,6837,12391,
32,ZACATECAS,24,LORETO,31,65,66,657,1856,228,890,2216,2955,5647,574,185,846,3022,252,267,62,14,42,0,0,0,0,0,0,19713,4,1000,20717,36085,
32,ZACATECAS,25,LUIS MOYA,12,19,19,788,232,60,600,1163,529,1229,169,86,1033,90,22,36,5,4,0,0,0,0,0,0,0,6046,0,350,6396,9816,
32,ZACATECAS,26,MAZAPIL,48,51,51,149,1274,140,185,851,57,1647,4553,83,12,39,7,76,5,1,3,170,46,4,58,0,0,9360,0,407,9767,14645,
32,ZACATECAS,27,MELCHOR OCAMPO,6,7,7,51,253,66,40,29,153,182,773,21,4,12,1,16,0,4,0,6,3,1,6,0,0,1621,0,118,1739,2345,
32,ZACATECAS,28,MEZQUITAL DEL ORO,6,7,7,51,37,344,76,483,23,712,8,8,13,3,2,3,0,1,1,0,0,0,0,18,0,1783,1,82,1866,2598,
32,ZACATECAS,29,MIGUEL AUZA,22,34,34,585,1487,52,592,304,1891,3328,175,40,435,49,110,0,0,0,0,0,0,0,0,65,0,9113,3,544,9660,18376,
32,ZACATECAS,30,MOMAX,6,7,8,436,68,8,337,156,18,400,10,6,12,13,3,10,5,0,0,0,0,0,0,18,0,1500,1,84,1585,2620,
32,ZACATECAS,31,MONTE ESCOBEDO,18,20,20,335,1684,51,111,199,260,1225,51,10,57,19,3,0,0,0,0,0,0,0,0,84,0,4089,0,337,4426,7952,
32,ZACATECAS,32,MORELOS,9,18,19,486,444,174,834,505,565,2030,508,145,918,47,25,45,15,4,1,44,16,8,9,151,0,6974,4,262,7240,10104,
32,ZACATECAS,33,MOYAHUA DE ESTRADA,9,10,10,274,325,51,102,111,246,735,5,4,124,28,8,26,49,4,0,0,0,0,0,40,0,2132,1,125,2258,4942,
32,ZACATECAS,34,NOCHISTLAN DE MEJIA,39,57,58,1813,603,189,2039,714,2231,4533,129,158,392,195,45,139,93,73,17,0,0,0,0,258,0,13621,1,927,14549,26798,
32,ZACATECAS,35,NORIA DE ANGELES,16,24,24,86,2164,51,277,455,308,3206,48,39,135,742,95,47,12,2,1,0,0,0,0,0,0,7668,1,346,8015,12255,
32,ZACATECAS,36,OJOCALIENTE,42,64,65,629,2353,3120,683,1087,687,4064,1892,213,472,2123,106,93,25,12,19,0,0,0,0,0,0,17578,19,861,18458,32065,
32,ZACATECAS,37,PANUCO,14,27,27,382,1466,51,1586,528,423,2195,743,177,113,58,35,83,32,7,13,95,38,22,26,201,0,8274,59,375,8708,13123,
32,ZACATECAS,38,PINOS,95,121,123,326,12812,191,1915,665,685,13466,707,99,566,84,85,0,0,0,0,0,0,0,0,0,0,31601,8,2096,33705,52639,
32,ZACATECAS,39,RIO GRANDE,64,105,107,1253,5394,1608,8166,724,270,7947,648,390,383,141,50,430,62,30,41,407,108,67,27,372,0,28518,8,1481,30007,53323,
32,ZACATECAS,40,SAIN ALTO,27,36,36,240,3818,935,176,1274,207,2061,299,19,59,20,10,66,26,7,7,0,0,0,0,220,557,10001,30,518,10549,17593,
32,ZACATECAS,41,EL SALVADOR,5,5,5,55,111,9,24,680,25,188,150,5,3,8,0,8,3,0,0,1,1,0,0,0,0,1271,0,70,1341,1924,
32,ZACATECAS,42,SOMBRERETE,89,114,115,3587,7028,429,639,1218,1198,10753,512,77,132,237,538,0,0,0,0,0,0,0,0,263,0,26611,24,1610,28245,49788,
32,ZACATECAS,43,SUSTICACAN,4,4,4,38,193,8,89,19,120,252,10,1,82,19,2,0,0,0,0,0,0,0,0,16,0,849,0,44,893,1486,
32,ZACATECAS,44,TABASCO,21,30,30,2387,329,131,1992,323,524,2180,81,42,38,30,12,74,21,18,0,0,0,0,0,122,0,8304,12,357,8673,14157,
32,ZACATECAS,45,TEPECHITLAN,18,20,21,193,701,33,749,207,79,1222,699,393,28,26,8,14,7,3,2,0,0,0,0,44,0,4408,2,263,4673,7458,
32,ZACATECAS,46,TEPETONGO,20,21,22,129,1038,250,47,321,67,1255,40,4,61,14,2,0,0,0,0,0,0,0,0,140,0,3368,0,351,3719,6501,
32,ZACATECAS,47,TEUL DE GONZALEZ ORTEGA,11,14,14,292,377,19,1035,396,123,540,108,19,32,60,3,26,7,2,3,0,0,0,0,25,0,3067,0,141,3208,4713,
32,ZACATECAS,48,TLALTENANGO DE SANCHEZ ROMAN,36,55,56,1817,710,173,4040,794,432,3573,187,103,99,288,25,202,61,17,3,0,0,0,0,398,0,12922,3,698,13623,22162,
32,ZACATECAS,49,VALPARAISO,66,77,79,895,1840,3198,331,762,690,6665,368,46,58,596,19,418,40,40,23,0,0,0,0,193,0,16182,8,792,16982,28571,
32,ZACATECAS,50,VETAGRANDE,8,16,16,369,324,82,403,229,289,1576,1356,58,918,26,50,43,6,2,1,30,11,4,8,53,0,5838,1,320,6159,8541,
32,ZACATECAS,51,VILLA DE COS,46,65,67,1068,5942,262,2217,251,697,2153,2412,218,80,185,89,381,67,7,17,300,111,29,43,0,0,16529,6,719,17254,26113,
32,ZACATECAS,52,VILLA GARCIA,15,25,25,161,1557,52,218,373,2666,3065,139,11,48,435,32,87,14,1,3,0,0,0,0,0,0,8862,3,445,9310,13000,
