CIRCUNSCRIPCION,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO_LOCAL,CABECERA_DISTRITAL_LOCAL,ID_MUNICIPIO,MUNICIPIO,ID_DEMARCACION_LOCAL,DEMARCACION_LOCAL,TIPO_DE_CANDIDATURA,NOMBRE_ACTOR POLITICO,NUMERO_LISTA,PERSONA CANDIDATA,IDENTIDAD_SEXO_GENERICA,ACCION AFIRMATIVA,RUTA_CONSTANCIA,PARTIDO
2,32,ZACATECAS,1,ZACATECAS,,,,,DIP_LOC_MR,PVEM_MORENA,1,RUTH CALDERON BABUN,2,,,MORENA
2,32,ZACATECAS,2,ZACATECAS,,,,,DIP_LOC_MR,PVEM_MORENA,1,SANTOS ANTONIO GONZALEZ HUERTA,1,,,MORENA
2,32,ZACATECAS,3,GUADALUPE,,,,,DIP_LOC_MR,PAN_PRI_PRD,1,MA TERESA LOPEZ GARCIA,2,,,PAN
2,32,ZACATECAS,4,GUADALUPE,,,,,DIP_LOC_MR,PVEM_MORENA,1,SAUL DE JESUS CORDERO BECERRIL ,1,,,MORENA
2,32,ZACATECAS,5,GUADALUPE,,,,,DIP_LOC_MR,PVEM_MORENA,1,SUSANA ANDREA BARRAGAN ESPINOSA,2,,,MORENA
2,32,ZACATECAS,6,FRESNILLO,,,,,DIP_LOC_MR,PAN_PRI_PRD,1,JESUS EDUARDO BADILLO MENDEZ,1,,,PAN
2,32,ZACATECAS,7,FRESNILLO,,,,,DIP_LOC_MR,PVEM_MORENA,1,MARTIN ALVAREZ CASIO,1,,,MORENA
2,32,ZACATECAS,8,FRESNILLO,,,,,DIP_LOC_MR,PAN_PRI_PRD,1,ELEUTERIO RAMOS LEAL,1,,,PRI
2,32,ZACATECAS,9,CALERA,,,,,DIP_LOC_MR,PVEM_MORENA,1,GEORGIA FERNANDA MIRANDA HERRERA,2,,,PVEM
2,32,ZACATECAS,10,JEREZ DE GARCIA SALINAS,,,,,DIP_LOC_MR,PVEM_MORENA,1,JOSE LUIS GONZALEZ OROZCO,1,,,MORENA
2,32,ZACATECAS,11,OJOCALIENTE,,,,,DIP_LOC_MR,PAN_PRI_PRD,1,DAYANNE CRUZ HERNANDEZ,2,,,PRI
2,32,ZACATECAS,12,VILLA DE COS,,,,,DIP_LOC_MR,PAN_PRI_PRD,1,JOSE DAVID GONZALEZ HERNANDEZ,1,,,PRI
2,32,ZACATECAS,13,LORETO,,,,,DIP_LOC_MR,MORENA,1,IMELDA MAURICIO ESPARZA,2,,,MORENA
2,32,ZACATECAS,14,PINOS,,,,,DIP_LOC_MR,MORENA,1,OSCAR RAFAEL NOVELLA MACIAS,1,,,MORENA
2,32,ZACATECAS,15,JALPA,,,,,DIP_LOC_MR,PVEM_MORENA,1,MARIBEL VILLALPANDO HARO,2,,,MORENA
2,32,ZACATECAS,16,TLALTENANGO DE SANCHEZ ROMAN,,,,,DIP_LOC_MR,PVEM_MORENA,1,LYNDIANA ELIZABETH BUGARIN CORTES,2,,,PVEM
